learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.046875,4.928248624006907E-11,10000.0,72.1,41.40340237468697,43.5793731041456,34.36838390966831,10000.0,4064.0
20000.0,0.078125,8.213747706678178E-11,20000.0,72.675,42.46460694240898,44.1834337657032,35.27948839412601,20000.0,4064.0
30000.0,0.109375,1.1499246789349448E-10,30000.0,73.14,43.37178450227466,44.94773519163764,36.133787746690984,30000.0,4064.0
40000.0,0.140625,1.478474587202072E-10,40000.0,73.2825,43.58271459262359,45.02572016460904,36.17796357121528,40000.0,4064.0
50000.0,0.15625,1.6427495413356356E-10,50000.0,73.378,43.856797164395985,45.2515115370378,36.656514704482724,50000.0,4064.0
60000.0,0.1875,1.9712994496027626E-10,60000.0,73.335,43.75424361206724,45.178865131578945,36.519461968813225,60000.0,4064.0
70000.0,0.21875,2.2998493578698897E-10,70000.0,73.41571428571429,43.92557525365499,45.33838561861121,36.71053974084277,70000.0,4064.0
80000.0,0.234375,2.464124312003453E-10,80000.0,73.45,43.97455801327032,45.37879956796792,36.7819513066254,80000.0,4064.0
90000.0,0.265625,2.7926742202705804E-10,90000.0,73.44222222222221,44.0042192515459,45.474039602153475,36.92738019843783,90000.0,4064.0
100000.0,0.296875,3.1212241285377077E-10,100000.0,73.33,43.77813294163911,45.28781848767077,36.716970387243734,100000.0,4064.0
110000.0,0.3125,3.285499082671271E-10,110000.0,73.33363636363637,43.78934310026059,45.377181058080865,36.75233947130105,110000.0,4064.0
120000.0,0.34375,3.6140489909383985E-10,120000.0,73.35249999999999,43.81384691287775,45.42242703533025,36.749347258485635,120000.0,4064.0
130000.0,0.375,3.942598899205526E-10,130000.0,73.42384615384616,43.95405687217321,45.51748064277041,36.872590399970754,130000.0,4064.0
140000.0,0.390625,4.106873853339089E-10,140000.0,73.43357142857143,43.97348152640818,45.5111488763222,36.87970945624874,140000.0,4064.0
150000.0,0.421875,4.4354237616062165E-10,150000.0,73.51266666666668,44.139883452067124,45.66255008958001,37.05780777212744,150000.0,4064.0
160000.0,0.453125,4.763973669873344E-10,160000.0,73.52374999999999,44.18035707964723,45.66815016224397,37.15023293077356,160000.0,4064.0
170000.0,0.46875,4.928248624006907E-10,170000.0,73.53294117647059,44.205891348000684,45.693525805049966,37.1951815301294,170000.0,4064.0
180000.0,0.5,5.256798532274034E-10,180000.0,73.52111111111111,44.195354436190094,45.69361362730019,37.229853419551965,180000.0,4064.0
190000.0,0.53125,5.585348440541161E-10,190000.0,73.53263157894737,44.20512647447741,45.768853325281206,37.214557712716164,190000.0,4064.0
200000.0,0.546875,5.749623394674724E-10,200000.0,73.54,44.23381786474071,45.72697344806016,37.26141078838175,200000.0,4064.0
210000.0,0.578125,6.078173302941851E-10,210000.0,73.5552380952381,44.2528863235484,45.70660409639732,37.259642542422675,210000.0,4064.0
220000.0,0.609375,6.406723211208978E-10,220000.0,73.5759090909091,44.30851364784857,45.746656587432675,37.338449764478874,220000.0,4064.0
230000.0,0.625,6.570998165342541E-10,230000.0,73.55826086956522,44.27819920846093,45.679144671615,37.32764484016571,230000.0,4064.0
240000.0,0.65625,6.899548073609668E-10,240000.0,73.55666666666667,44.28187560039118,45.72015053027712,37.36837430548018,240000.0,4064.0
250000.0,0.671875,7.063823027743231E-10,250000.0,73.55199999999999,44.269049910339255,45.69065356846574,37.35195467207366,250000.0,4064.0
260000.0,0.6875,7.228097981876795E-10,260000.0,73.5673076923077,44.29530877396065,45.70155409302436,37.35358194397601,260000.0,4064.0
270000.0,0.71875,7.556647890143922E-10,270000.0,73.59740740740742,44.34913431821912,45.74520712671147,37.39340447020595,270000.0,4064.0
280000.0,0.734375,7.720922844277485E-10,280000.0,73.61892857142858,44.39684951662626,45.789666813444896,37.458089206488985,280000.0,4064.0
290000.0,0.75,7.885197798411048E-10,290000.0,73.6151724137931,44.38581645012568,45.80520869485151,37.43325565231612,290000.0,4064.0
300000.0,0.78125,8.213747706678175E-10,300000.0,73.60866666666666,44.373412507095935,45.80575386911077,37.41383671662557,300000.0,4064.0
310000.0,0.78125,8.213747706678175E-10,310000.0,73.60096774193549,44.34594366700108,45.763442000410905,37.35589950856566,310000.0,4064.0
320000.0,0.8125,8.542297614945302E-10,320000.0,73.593125,44.33719504355737,45.75346335075174,37.366490012229924,320000.0,4064.0
330000.0,0.84375,8.870847523212429E-10,330000.0,73.59454545454545,44.328631688184956,45.763492527837776,37.34099390941058,330000.0,4064.0
340000.0,0.859375,9.035122477345992E-10,340000.0,73.58823529411764,44.30573941139228,45.74706532705818,37.29400592145689,340000.0,4064.0
350000.0,0.890625,9.36367238561312E-10,350000.0,73.59028571428571,44.298843112389314,45.74418754805803,37.269087207329505,350000.0,4064.0
360000.0,0.921875,9.692222293880246E-10,360000.0,73.5761111111111,44.28401474032147,45.72447436738653,37.28217942547453,360000.0,4064.0
370000.0,0.953125,1.0020772202147373E-9,370000.0,73.57432432432432,44.271042986574386,45.73090521571653,37.25574500580757,370000.0,4064.0
380000.0,0.96875,1.0185047156280937E-9,380000.0,73.57947368421053,44.29114807714007,45.73286416189658,37.28652632893998,380000.0,4064.0
390000.0,1.0,1.0513597064548064E-9,390000.0,73.57897435897436,44.281828959591174,45.724805242005566,37.26323480166824,390000.0,4064.0
400000.0,1.03125,1.084214697281519E-9,400000.0,73.59575000000001,44.3154852415962,45.74729293800983,37.299193806917366,400000.0,4064.0
410000.0,1.046875,1.1006421926948755E-9,410000.0,73.60707317073171,44.33951017239492,45.75916912697179,37.32457588341935,410000.0,4064.0
420000.0,1.078125,1.1334971835215882E-9,420000.0,73.58809523809524,44.302171911174185,45.7252453690566,37.28622875007775,420000.0,4064.0
430000.0,1.109375,1.1663521743483009E-9,430000.0,73.58534883720931,44.297389059170534,45.72184974744459,37.28611419390106,430000.0,4064.0
440000.0,1.125,1.1827796697616573E-9,440000.0,73.58545454545454,44.29148418031799,45.7100149476831,37.27725069887424,440000.0,4064.0
450000.0,1.15625,1.21563466058837E-9,450000.0,73.58444444444444,44.29679952318647,45.704354339951855,37.28831442891058,450000.0,4064.0
460000.0,1.1875,1.2484896514150827E-9,460000.0,73.5995652173913,44.33135529357763,45.75212739820874,37.33093202190079,460000.0,4064.0
470000.0,1.1875,1.2484896514150827E-9,470000.0,73.59531914893617,44.332412041217324,45.759378318961176,37.34658743821846,470000.0,4064.0
480000.0,1.21875,1.2813446422417954E-9,480000.0,73.60208333333334,44.34205324397289,45.77140191475612,37.35353155807813,480000.0,4064.0
490000.0,1.25,1.314199633068508E-9,490000.0,73.59632653061225,44.336849569002084,45.77278538047237,37.3648079474046,490000.0,4064.0
500000.0,1.265625,1.3306271284818645E-9,500000.0,73.6034,44.35626235352591,45.79575509667668,37.39689315783231,500000.0,4064.0
510000.0,1.296875,1.3634821193085772E-9,510000.0,73.62823529411764,44.40701313073272,45.82650270472753,37.45215761594948,510000.0,4064.0
520000.0,1.3125,1.3799096147219336E-9,520000.0,73.65076923076923,44.46361014290917,45.884118646076075,37.52690133138793,520000.0,4064.0
530000.0,1.34375,1.4127646055486463E-9,530000.0,73.64792452830189,44.45449831828409,45.8812041554134,37.51772700633923,530000.0,4064.0
540000.0,1.375,1.445619596375359E-9,540000.0,73.65574074074074,44.471089936649555,45.90624595986097,37.53666332964504,540000.0,4064.0
550000.0,1.390625,1.4620470917887154E-9,550000.0,73.65709090909091,44.469222524402795,45.917677930862,37.53163601871212,550000.0,4064.0
560000.0,1.421875,1.494902082615428E-9,560000.0,73.66571428571429,44.49331518628034,45.94689694606126,37.56715451147078,560000.0,4064.0
570000.0,1.453125,1.5277570734421408E-9,570000.0,73.67245614035087,44.50620635888358,45.97144965887202,37.583912157384674,570000.0,4064.0
