learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.046875,4.928248624006907E-11,10000.0,72.37,42.22619229833115,43.26488706365503,35.92300556586272,10000.0,4064.0
20000.0,0.078125,8.213747706678178E-11,20000.0,72.99,43.15154550921362,44.25180598555212,35.82798764552151,20000.0,4064.0
30000.0,0.109375,1.1499246789349448E-10,30000.0,73.10666666666667,43.46297121735462,44.75486168173103,36.367221389699495,30000.0,4064.0
40000.0,0.140625,1.478474587202072E-10,40000.0,73.5825,44.40873007996372,45.72397144177923,37.27294313190074,40000.0,4064.0
50000.0,0.15625,1.6427495413356356E-10,50000.0,73.584,44.40772984488145,45.61027837259102,37.16460513796386,50000.0,4064.0
60000.0,0.1875,1.9712994496027626E-10,60000.0,73.64833333333334,44.523968315807124,45.70771238239132,37.26540491211365,60000.0,4064.0
70000.0,0.21875,2.2998493578698897E-10,70000.0,73.6242857142857,44.43203495399175,45.68747426016355,37.10869639268316,70000.0,4064.0
80000.0,0.234375,2.464124312003453E-10,80000.0,73.63250000000001,44.51109701609208,45.70678472150726,37.317247117556164,80000.0,4064.0
90000.0,0.265625,2.7926742202705804E-10,90000.0,73.62555555555555,44.44592802681833,45.64460728188688,37.255161111257955,90000.0,4064.0
100000.0,0.296875,3.1212241285377077E-10,100000.0,73.68900000000001,44.570086704830906,45.77287716405606,37.37861766945926,100000.0,4064.0
110000.0,0.328125,3.449774036804835E-10,110000.0,73.73454545454545,44.68412005756967,45.87283150361572,37.49161636485579,110000.0,4064.0
120000.0,0.359375,3.7783239450719624E-10,120000.0,73.72416666666666,44.63513896658255,45.81278248466206,37.402473645550025,120000.0,4064.0
130000.0,0.375,3.942598899205526E-10,130000.0,73.64153846153846,44.504328321163165,45.6922784328642,37.35648994515539,130000.0,4064.0
140000.0,0.40625,4.271148807472653E-10,140000.0,73.70357142857142,44.59047127039962,45.85870172652136,37.37028342009457,140000.0,4064.0
150000.0,0.4375,4.5996987157397804E-10,150000.0,73.70466666666667,44.597265556368555,45.93368333036337,37.40795988320425,150000.0,4064.0
160000.0,0.453125,4.763973669873344E-10,160000.0,73.67937500000001,44.549469256863894,45.953542094455855,37.35142291843322,160000.0,4064.0
170000.0,0.484375,5.092523578140471E-10,170000.0,73.68823529411765,44.57306493405356,45.97760842522251,37.38801791713325,170000.0,4064.0
180000.0,0.515625,5.421073486407597E-10,180000.0,73.63055555555556,44.45706794644364,45.894650449690516,37.2852914750806,180000.0,4064.0
190000.0,0.53125,5.585348440541161E-10,190000.0,73.60894736842106,44.41835645793253,45.84521340936582,37.261648566137836,190000.0,4064.0
200000.0,0.5625,5.913898348808288E-10,200000.0,73.611,44.440287098235956,45.88203929289202,37.3115891247283,200000.0,4064.0
210000.0,0.59375,6.242448257075414E-10,210000.0,73.63190476190476,44.47508160226707,45.936947755875146,37.3161868752618,210000.0,4064.0
220000.0,0.609375,6.406723211208978E-10,220000.0,73.65636363636364,44.53401737529544,45.95622861085985,37.38886188084047,220000.0,4064.0
230000.0,0.640625,6.735273119476105E-10,230000.0,73.66304347826087,44.56502837558723,45.993295411993365,37.45870157759973,230000.0,4064.0
240000.0,0.671875,7.063823027743231E-10,240000.0,73.64125,44.542178348685646,45.94970993070805,37.485424036998246,240000.0,4064.0
