learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.046875,4.928248624006907E-11,10000.0,73.13,44.050859372136955,45.15207185139823,37.08733317724185,10000.0,4064.0
20000.0,0.09375,9.856497248013814E-11,20000.0,73.68,45.04295836594842,46.247319513938535,38.237709726622086,20000.0,4064.0
30000.0,0.109375,1.149924678934945E-10,30000.0,73.67,44.82402405161237,45.96018334815626,37.84230406043437,30000.0,4064.0
40000.0,0.140625,1.4784745872020722E-10,40000.0,73.575,44.53900156980336,45.76706003078502,37.57013761738822,40000.0,4064.0
50000.0,0.171875,1.8070244954691992E-10,50000.0,73.408,44.0924252857117,45.42320006567604,36.96188128200264,50000.0,4064.0
60000.0,0.1875,1.971299449602763E-10,60000.0,73.55000000000001,44.3297255990426,45.47703301611297,37.083729781160805,60000.0,4064.0
70000.0,0.21875,2.29984935786989E-10,70000.0,73.52857142857144,44.30978459816394,45.41651938258514,37.22687082895762,70000.0,4064.0
80000.0,0.25,2.628399266137017E-10,80000.0,73.57375,44.39639779344624,45.524118738404454,37.3340052169789,80000.0,4064.0
90000.0,0.28125,2.9569491744041443E-10,90000.0,73.62777777777778,44.50469407440704,45.60185185185186,37.443993463707784,90000.0,4064.0
100000.0,0.296875,3.1212241285377077E-10,100000.0,73.667,44.5417329080879,45.771123787557414,37.41116630618213,100000.0,4064.0
110000.0,0.328125,3.449774036804835E-10,110000.0,73.68636363636364,44.60342868265297,45.838479098836125,37.524282322469254,110000.0,4064.0
120000.0,0.34375,3.6140489909383985E-10,120000.0,73.71416666666667,44.634796157388415,45.86472617433539,37.567048670902366,120000.0,4064.0
130000.0,0.375,3.942598899205526E-10,130000.0,73.64153846153846,44.498991374218924,45.73184251369927,37.453682577347806,130000.0,4064.0
