learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.03125,3.285499082671271E-11,10000.0,73.19,44.28496769775011,45.21863506334286,37.139507620164125,10000.0,4064.0
20000.0,0.078125,8.213747706678178E-11,20000.0,73.64500000000001,45.07355652191548,45.999385308882296,38.0028228652082,20000.0,4064.0
30000.0,0.09375,9.856497248013813E-11,30000.0,73.69333333333333,45.1503819179185,46.00068422853232,38.169852710748984,30000.0,4064.0
40000.0,0.125,1.3141996330685085E-10,40000.0,73.9375,45.57287124274651,46.576816644460386,38.716124860384454,40000.0,4064.0
50000.0,0.15625,1.6427495413356356E-10,50000.0,73.92999999999999,45.4558831348891,46.36243930540695,38.59525155455059,50000.0,4064.0
60000.0,0.1875,1.9712994496027626E-10,60000.0,73.91499999999999,45.36551359233134,46.314272973621925,38.5391714117416,60000.0,4064.0
70000.0,0.203125,2.1355744037363263E-10,70000.0,73.90142857142857,45.2838188554554,46.25974408001177,38.421868680059326,70000.0,4064.0
80000.0,0.21875,2.29984935786989E-10,80000.0,73.83875,45.10513809310832,46.02589230451826,38.18595309823379,80000.0,4064.0
90000.0,0.25,2.628399266137017E-10,90000.0,73.76222222222222,44.94108082690991,45.78100245677679,38.04051217464314,90000.0,4064.0
100000.0,0.265625,2.7926742202705804E-10,100000.0,73.725,44.838162082987985,45.67577067008497,37.91351606805292,100000.0,4064.0
110000.0,0.296875,3.1212241285377077E-10,110000.0,73.79181818181819,44.94946192946265,45.896593788120484,37.98347889687217,110000.0,4064.0
120000.0,0.328125,3.449774036804835E-10,120000.0,73.86833333333334,45.09478416032674,46.07672862964938,38.147461438321045,120000.0,4064.0
130000.0,0.34375,3.6140489909383985E-10,130000.0,73.90923076923077,45.14972632835273,46.15079302078207,38.1430890157387,130000.0,4064.0
140000.0,0.375,3.942598899205526E-10,140000.0,73.92357142857144,45.15300860598057,46.19930440933743,38.16355567600529,140000.0,4064.0
150000.0,0.40625,4.271148807472653E-10,150000.0,73.91666666666666,45.11632944831467,46.21179834751645,38.1325110689437,150000.0,4064.0
160000.0,0.421875,4.4354237616062165E-10,160000.0,73.866875,44.99983569205692,46.077660136956275,38.01440939278937,160000.0,4064.0
170000.0,0.453125,4.763973669873344E-10,170000.0,73.83705882352942,44.92794469269272,46.09175201502939,37.92463363572924,170000.0,4064.0
180000.0,0.484375,5.092523578140471E-10,180000.0,73.84611111111111,44.953496095910644,46.11272635699733,37.95534819969424,180000.0,4064.0
190000.0,0.5,5.256798532274034E-10,190000.0,73.80631578947369,44.86954106304564,46.04568467384352,37.8754212957184,190000.0,4064.0
200000.0,0.53125,5.585348440541161E-10,200000.0,73.8075,44.86415704267011,46.0487965642605,37.87210322825495,200000.0,4064.0
210000.0,0.5625,5.913898348808288E-10,210000.0,73.81666666666666,44.868410501167745,46.0820364977103,37.86233317135462,210000.0,4064.0
220000.0,0.59375,6.242448257075414E-10,220000.0,73.79181818181819,44.79510713780229,46.011592085920014,37.74980296470638,220000.0,4064.0
