learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.0625,6.570998165342543E-11,10000.0,73.15,43.184540168466626,43.98080534112247,35.25440077164215,10000.0,4064.0
20000.0,0.09375,9.856497248013814E-11,20000.0,73.515,44.19791823786695,45.487290315941124,37.03043271516879,20000.0,4064.0
30000.0,0.125,1.3141996330685085E-10,30000.0,73.63666666666666,44.446288924532865,45.56779077770129,37.17531178012549,30000.0,4064.0
40000.0,0.140625,1.4784745872020722E-10,40000.0,73.57000000000001,44.28284783835474,45.547257275302606,37.02269613391316,40000.0,4064.0
50000.0,0.171875,1.8070244954691992E-10,50000.0,73.542,44.28605082075756,45.66476362590873,37.24085582807532,50000.0,4064.0
60000.0,0.1875,1.971299449602763E-10,60000.0,73.54666666666667,44.33771534131577,45.68661670601924,37.34901713112814,60000.0,4064.0
70000.0,0.21875,2.29984935786989E-10,70000.0,73.62857142857143,44.525342101336705,45.90317664986521,37.65830265779609,70000.0,4064.0
80000.0,0.25,2.628399266137017E-10,80000.0,73.64375,44.50626900519644,45.95114198559379,37.577713304517715,80000.0,4064.0
90000.0,0.28125,2.9569491744041443E-10,90000.0,73.6,44.39681042131828,45.86219467736055,37.425930315240585,90000.0,4064.0
100000.0,0.3125,3.2854990826712716E-10,100000.0,73.568,44.32090450865887,45.92471358428805,37.32334250213412,100000.0,4064.0
110000.0,0.34375,3.614048990938399E-10,110000.0,73.56,44.32755124291789,45.912370750576514,37.38239283484403,110000.0,4064.0
120000.0,0.359375,3.7783239450719624E-10,120000.0,73.625,44.46906208803807,46.10656086638173,37.55056135435368,120000.0,4064.0
130000.0,0.390625,4.1068738533390897E-10,130000.0,73.63230769230769,44.47997433101795,46.0656124616474,37.53098119259368,130000.0,4064.0
140000.0,0.40625,4.271148807472653E-10,140000.0,73.66642857142857,44.541796278988734,46.155194321517754,37.56752637550591,140000.0,4064.0
150000.0,0.4375,4.5996987157397804E-10,150000.0,73.71333333333332,44.632842031188446,46.22717416504152,37.6699336073348,150000.0,4064.0
160000.0,0.46875,4.928248624006907E-10,160000.0,73.728125,44.66588165760496,46.211723758461396,37.711161164127795,160000.0,4064.0
170000.0,0.484375,5.092523578140471E-10,170000.0,73.68705882352941,44.58432466214754,46.10862127126404,37.62619220257684,170000.0,4064.0
180000.0,0.515625,5.421073486407597E-10,180000.0,73.71277777777779,44.64872392550252,46.16522362417941,37.7104643049906,180000.0,4064.0
190000.0,0.546875,5.749623394674724E-10,190000.0,73.73368421052632,44.68500267747936,46.20343221800621,37.73657879305828,190000.0,4064.0
200000.0,0.5625,5.913898348808288E-10,200000.0,73.729,44.64912045646249,46.186384260065346,37.64744974248214,200000.0,4064.0
210000.0,0.59375,6.242448257075414E-10,210000.0,73.69571428571429,44.57249342560505,46.10986995502571,37.550591267777605,210000.0,4064.0
220000.0,0.625,6.570998165342541E-10,220000.0,73.72090909090909,44.632508643037845,46.17547387628944,37.629861373321106,220000.0,4064.0
230000.0,0.640625,6.735273119476105E-10,230000.0,73.71695652173914,44.61564352524243,46.18349832633004,37.61120399611947,230000.0,4064.0
240000.0,0.671875,7.063823027743231E-10,240000.0,73.69083333333334,44.55180507817618,46.102039248491266,37.52523053785572,240000.0,4064.0
250000.0,0.703125,7.392372936010358E-10,250000.0,73.67519999999999,44.511030323692005,46.056622022589785,37.46305957030321,250000.0,4064.0
260000.0,0.71875,7.556647890143922E-10,260000.0,73.68923076923078,44.54995039012127,46.08278949525521,37.53492704129153,260000.0,4064.0
270000.0,0.75,7.885197798411048E-10,270000.0,73.68666666666667,44.53395796405344,46.096008376264216,37.52385307385879,270000.0,4064.0
280000.0,0.78125,8.213747706678175E-10,280000.0,73.66857142857143,44.497761097716904,46.073727325921595,37.493747509601285,280000.0,4064.0
290000.0,0.796875,8.378022660811739E-10,290000.0,73.67,44.499455898000626,46.078230595945115,37.49068790778779,290000.0,4064.0
300000.0,0.828125,8.706572569078865E-10,300000.0,73.63833333333332,44.429772084633775,45.9787152654444,37.411956504534714,300000.0,4064.0
310000.0,0.859375,9.035122477345992E-10,310000.0,73.63290322580646,44.42218252421331,45.945481238509664,37.41012152259311,310000.0,4064.0
320000.0,0.875,9.199397431479556E-10,320000.0,73.623125,44.40899684800609,45.929636652488085,37.405633092564855,320000.0,4064.0
330000.0,0.90625,9.527947339746683E-10,330000.0,73.63484848484848,44.43775600683238,45.98948407402118,37.46810697370217,330000.0,4064.0
340000.0,0.9375,9.85649724801381E-10,340000.0,73.64,44.457441723282436,46.024270529073455,37.49459500927568,340000.0,4064.0
350000.0,0.953125,1.0020772202147375E-9,350000.0,73.63828571428571,44.437936170707054,46.020230858787656,37.44593147025721,350000.0,4064.0
360000.0,0.984375,1.0349322110414502E-9,360000.0,73.63222222222223,44.417143641251414,46.00608628878587,37.40999604378214,360000.0,4064.0
370000.0,1.015625,1.0677872018681628E-9,370000.0,73.64432432432433,44.436931493441136,46.01190311418686,37.42034435624122,370000.0,4064.0
380000.0,1.046875,1.1006421926948755E-9,380000.0,73.64657894736843,44.44242821603932,46.02386650281354,37.42587744237343,380000.0,4064.0
390000.0,1.0625,1.117069688108232E-9,390000.0,73.65846153846154,44.464303536549565,46.05063463972315,37.44854964806742,390000.0,4064.0
400000.0,1.09375,1.1499246789349446E-9,400000.0,73.656,44.452864569348115,46.05480728374774,37.42034717644474,400000.0,4064.0
410000.0,1.109375,1.166352174348301E-9,410000.0,73.65048780487805,44.43469447992779,46.04743379095772,37.384515515782404,410000.0,4064.0
420000.0,1.140625,1.1992071651750138E-9,420000.0,73.65380952380953,44.441807124595265,46.05953953622142,37.39944105633563,420000.0,4064.0
430000.0,1.171875,1.2320621560017264E-9,430000.0,73.65255813953489,44.44366678235395,46.06357503653874,37.408704683822634,430000.0,4064.0
440000.0,1.203125,1.2649171468284391E-9,440000.0,73.65363636363637,44.4320510930479,46.04923907478941,37.375276188624,440000.0,4064.0
450000.0,1.21875,1.2813446422417956E-9,450000.0,73.64311111111111,44.41635362360553,46.0364258447875,37.36877679910442,450000.0,4064.0
460000.0,1.25,1.3141996330685082E-9,460000.0,73.64869565217391,44.42857772209869,46.04997285051762,37.383578273110004,460000.0,4064.0
470000.0,1.28125,1.347054623895221E-9,470000.0,73.64382978723404,44.41313857753571,46.0340418487329,37.36334860390562,470000.0,4064.0
480000.0,1.296875,1.3634821193085774E-9,480000.0,73.64604166666666,44.42601025744135,46.04504954084612,37.398736087810704,480000.0,4064.0
