learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.046875,4.928248624006907E-11,10000.0,72.89999999999999,41.828636349898474,42.875210792580106,33.821733821733815,10000.0,4064.0
20000.0,0.078125,8.213747706678178E-11,20000.0,73.17,42.941046648990735,43.98162647457981,35.6748981059698,20000.0,4064.0
30000.0,0.109375,1.1499246789349448E-10,30000.0,73.27333333333334,43.15590503307031,44.61559715410652,35.79436258808457,30000.0,4064.0
40000.0,0.140625,1.478474587202072E-10,40000.0,73.385,43.548732769402,44.984755309803106,36.32775119617225,40000.0,4064.0
50000.0,0.171875,1.807024495469199E-10,50000.0,73.358,43.4884106485635,44.85884593095456,36.25095712098009,50000.0,4064.0
60000.0,0.1875,1.9712994496027626E-10,60000.0,73.36166666666666,43.62669229527103,44.91469929346891,36.5804301245933,60000.0,4064.0
70000.0,0.21875,2.2998493578698897E-10,70000.0,73.38142857142857,43.73841433455708,45.13089313584029,36.84585140997831,70000.0,4064.0
80000.0,0.25,2.628399266137017E-10,80000.0,73.36375000000001,43.7126020243758,45.14916728873331,36.79855261596869,80000.0,4064.0
90000.0,0.265625,2.7926742202705804E-10,90000.0,73.3911111111111,43.772283795497394,45.18026782648506,36.84599156118142,90000.0,4064.0
100000.0,0.296875,3.1212241285377077E-10,100000.0,73.386,43.79400244667785,45.17551087673038,36.90673747095916,100000.0,4064.0
110000.0,0.3125,3.285499082671271E-10,110000.0,73.39272727272727,43.816389879156496,45.21358241922804,36.944157187176835,110000.0,4064.0
120000.0,0.34375,3.6140489909383985E-10,120000.0,73.42416666666666,43.89309394236619,45.257140895358425,37.01289723687069,120000.0,4064.0
130000.0,0.375,3.942598899205526E-10,130000.0,73.42076923076924,43.881854083823505,45.2504317789292,36.993070751276456,130000.0,4064.0
140000.0,0.390625,4.106873853339089E-10,140000.0,73.42857142857143,43.926639922420165,45.390487375220204,37.06222718505736,140000.0,4064.0
150000.0,0.421875,4.4354237616062165E-10,150000.0,73.446,43.98103771464154,45.413057778752325,37.14434502674809,150000.0,4064.0
160000.0,0.4375,4.59969871573978E-10,160000.0,73.438125,43.95473415134726,45.423141132656994,37.09257230823885,160000.0,4064.0
170000.0,0.453125,4.763973669873344E-10,170000.0,73.43352941176471,43.953066665607686,45.418398917142035,37.1050176166669,170000.0,4064.0
180000.0,0.484375,5.092523578140471E-10,180000.0,73.45166666666667,43.98584148868749,45.461081944761474,37.13312196597951,180000.0,4064.0
190000.0,0.515625,5.421073486407597E-10,190000.0,73.46315789473684,43.99475678583305,45.48187234410648,37.10315232713347,190000.0,4064.0
200000.0,0.53125,5.585348440541161E-10,200000.0,73.431,43.91951006490801,45.42111750205424,36.99400033199745,200000.0,4064.0
210000.0,0.5625,5.913898348808288E-10,210000.0,73.4504761904762,43.95777948738985,45.47126077048715,37.02247825595843,210000.0,4064.0
220000.0,0.578125,6.078173302941851E-10,220000.0,73.40181818181819,43.863806161201836,45.40144623279683,36.93649031674012,220000.0,4064.0
230000.0,0.609375,6.406723211208978E-10,230000.0,73.43347826086956,43.96416233105387,45.508458705287474,37.08504942339374,230000.0,4064.0
240000.0,0.640625,6.735273119476105E-10,240000.0,73.46458333333334,44.01016656160019,45.55767373073339,37.099370845555924,240000.0,4064.0
250000.0,0.65625,6.899548073609668E-10,250000.0,73.4792,44.04345590986758,45.57603119228401,37.13126179345919,250000.0,4064.0
260000.0,0.6875,7.228097981876795E-10,260000.0,73.49461538461539,44.08202651161513,45.633411697880994,37.16239627974833,260000.0,4064.0
270000.0,0.71875,7.556647890143922E-10,270000.0,73.4737037037037,44.04444380587109,45.59783062794814,37.12381922253048,270000.0,4064.0
280000.0,0.734375,7.720922844277485E-10,280000.0,73.465,44.01273873337401,45.598324705468876,37.064927364364074,280000.0,4064.0
290000.0,0.765625,8.049472752544612E-10,290000.0,73.46172413793104,44.01043231561783,45.585219961254026,37.059602865648216,290000.0,4064.0
300000.0,0.796875,8.378022660811739E-10,300000.0,73.50533333333334,44.10864555500146,45.67351067610794,37.17027516263922,300000.0,4064.0
310000.0,0.8125,8.542297614945302E-10,310000.0,73.51838709677419,44.14137906877745,45.721842044365104,37.21568747418818,310000.0,4064.0
320000.0,0.84375,8.870847523212429E-10,320000.0,73.511875,44.1360554170963,45.69810498802005,37.22774770237947,320000.0,4064.0
330000.0,0.875,9.199397431479556E-10,330000.0,73.51939393939394,44.154807753492435,45.73241920659761,37.257407899366015,330000.0,4064.0
