learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.171875,5.342460806585021E-9,10000.0,80.4,58.55185247843006,58.684654300168646,52.13675213675214,10000.0,120152.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
20000.0,0.25,9.138732113771969E-9,20000.0,83.745,66.09562352380127,66.06117548804677,61.02853032845841,20000.0,187832.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.3125,1.2438977137207986E-8,30000.0,85.57666666666667,69.99820419109903,70.11121088623334,65.35073670723895,30000.0,204112.0,74.0,54.0,54.0,4.0,0.0,0.0,1.0
40000.0,0.375,1.6701847521795166E-8,40000.0,86.4,71.79348674950948,71.88775773861815,67.46411483253588,40000.0,263648.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.4375,2.1244632080197335E-8,50000.0,87.072,73.22633751620837,73.24281811408231,69.06584992343033,50000.0,280960.0,105.0,71.0,71.0,5.0,0.0,0.0,1.0
60000.0,0.515625,2.7313104106320278E-8,60000.0,87.60333333333334,74.39674481356377,74.36498362915734,70.48646932783113,60000.0,300256.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.578125,3.324666370948156E-8,70000.0,88.02,75.29610138249038,75.30551547454283,71.57673535791757,70000.0,366976.0,144.0,95.0,95.0,5.0,0.0,0.0,1.0
80000.0,0.65625,4.0923769120126966E-8,80000.0,88.40625,76.10751547966701,76.12551159618008,72.49080555226006,80000.0,379848.0,146.0,96.0,96.0,5.0,0.0,0.0,1.0
90000.0,0.734375,4.953203541744087E-8,90000.0,88.7088888888889,76.74188279922713,76.73801075884171,73.20147679324896,90000.0,425920.0,172.0,109.0,109.0,5.0,0.0,0.0,1.0
100000.0,0.8125,5.896345505283939E-8,100000.0,88.991,77.33715410237035,77.32160514172709,73.90119008107723,100000.0,466648.0,187.0,118.0,118.0,5.0,0.0,0.0,1.0
110000.0,0.90625,7.053863050209151E-8,110000.0,89.28636363636365,77.95189871727446,77.93980008236309,74.61004825922096,110000.0,477264.0,191.0,120.0,120.0,5.0,0.0,0.0,1.0
120000.0,0.984375,8.048518793657422E-8,120000.0,89.56416666666667,78.52623153225332,78.50350178522383,75.26614129683395,120000.0,492136.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
130000.0,1.03125,8.717693466072281E-8,130000.0,89.74,78.8902386295641,78.86580786233777,75.67833698030634,130000.0,551824.0,226.0,142.0,142.0,6.0,0.0,0.0,1.0
140000.0,1.109375,9.878855457322465E-8,140000.0,89.93214285714286,79.29358560344392,79.30857310628303,76.15301323046731,140000.0,574520.0,236.0,147.0,147.0,6.0,0.0,0.0,1.0
150000.0,1.1875,1.1067472061970167E-7,150000.0,90.09866666666667,79.64371095803473,79.64587216314001,76.56267260016728,150000.0,588104.0,240.0,149.0,149.0,6.0,0.0,0.0,1.0
160000.0,1.28125,1.2586497986275287E-7,160000.0,90.265,79.98478641700902,79.99743161679721,76.9442553065514,160000.0,626320.0,259.0,160.0,160.0,6.0,0.0,0.0,1.0
170000.0,1.375,1.4149781135428282E-7,170000.0,90.42529411764706,80.31862959758118,80.32848303200232,77.33229350898937,170000.0,644568.0,274.0,169.0,169.0,6.0,0.0,0.0,1.0
180000.0,1.4375,1.5238445485010741E-7,180000.0,90.55777777777779,80.59349202823677,80.60260214562885,77.64066672805968,180000.0,673312.0,281.0,174.0,174.0,6.0,0.0,0.0,1.0
