learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.1875,8.120356748501461E-9,10000.0,81.89,62.62599538469221,63.568698451015884,56.7780429594272,10000.0,167408.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.25,1.1101106388701334E-8,20000.0,84.58,68.19378442192617,68.60429603990634,63.399003085687156,20000.0,184352.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.296875,1.3513037831419045E-8,30000.0,85.99333333333334,71.07692887149142,71.36626916524702,66.59246303068849,30000.0,198896.0,79.0,58.0,58.0,4.0,0.0,0.0,1.0
40000.0,0.375,1.8863777060889537E-8,40000.0,86.6925,72.55294429021653,72.65629013201827,68.31170377425883,40000.0,264744.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.421875,2.217734517115686E-8,50000.0,87.324,73.88695666010204,73.9733902759527,69.91217659624971,50000.0,273248.0,101.0,69.0,69.0,4.0,0.0,0.0,1.0
60000.0,0.5,2.8299659283624756E-8,60000.0,87.81333333333333,74.92551224823171,75.02391037026916,71.16832932455345,60000.0,302920.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.5625,3.373069274756644E-8,70000.0,88.15857142857143,75.65603468536133,75.74542794440381,72.0485584218513,70000.0,335896.0,130.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.625,3.938317402369446E-8,80000.0,88.50875,76.39685100768823,76.44753023160484,72.92672870773943,80000.0,349592.0,136.0,88.0,88.0,5.0,0.0,0.0,1.0
90000.0,0.703125,4.765545276718007E-8,90000.0,88.77666666666667,76.9401695959983,76.99508062312108,73.50557377049182,90000.0,409296.0,165.0,104.0,104.0,5.0,0.0,0.0,1.0
100000.0,0.78125,5.6249652213106553E-8,100000.0,89.037,77.46881766984637,77.49009301275075,74.0931540515632,100000.0,425224.0,173.0,108.0,108.0,5.0,0.0,0.0,1.0
110000.0,0.859375,6.521363199378053E-8,110000.0,89.27818181818182,77.95729548023886,77.99093063616176,74.65182255845943,110000.0,443520.0,183.0,113.0,113.0,5.0,0.0,0.0,1.0
120000.0,0.9375,7.48077097038428E-8,120000.0,89.5,78.40263833370116,78.42945919572698,75.13223336227995,120000.0,474696.0,194.0,120.0,120.0,5.0,0.0,0.0,1.0
