learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.1875,6.464154769976934E-9,10000.0,80.33,58.62478634024772,59.426567656765684,52.08282582216809,10000.0,133264.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
20000.0,0.265625,1.0109086158788867E-8,20000.0,83.26,65.05771462570826,65.64744510568438,59.599372511162066,20000.0,180344.0,59.0,45.0,45.0,3.0,0.0,0.0,1.0
30000.0,0.359375,1.5110482410010364E-8,30000.0,85.06,69.02960136236955,69.48529411764707,64.21842567459684,30000.0,206216.0,73.0,52.0,52.0,4.0,0.0,0.0,1.0
40000.0,0.421875,1.9128880618760983E-8,40000.0,86.19,71.47324360021082,71.81776439977551,67.12491816937451,40000.0,248528.0,89.0,63.0,63.0,4.0,0.0,0.0,1.0
50000.0,0.484375,2.3325652970621984E-8,50000.0,86.836,72.83694560220418,73.079754601227,68.70334268460844,50000.0,259560.0,93.0,65.0,65.0,4.0,0.0,0.0,1.0
60000.0,0.5625,2.9249252596249183E-8,60000.0,87.375,73.99659978737836,74.19343849010322,70.07821140780534,60000.0,293088.0,111.0,74.0,74.0,5.0,0.0,0.0,1.0
70000.0,0.625,3.4322114920036663E-8,70000.0,87.76285714285714,74.8106123695818,74.9905112259496,71.00595721635527,70000.0,313744.0,118.0,79.0,79.0,5.0,0.0,0.0,1.0
80000.0,0.6875,3.9462498130483764E-8,80000.0,88.06125,75.44376356844708,75.50900046156214,71.73173113919556,80000.0,317920.0,122.0,81.0,81.0,5.0,0.0,0.0,1.0
90000.0,0.78125,4.831316699791286E-8,90000.0,88.38222222222221,76.10137104786607,76.20012291443788,72.47262005054759,90000.0,364928.0,148.0,94.0,94.0,5.0,0.0,0.0,1.0
100000.0,0.859375,5.6077583899928464E-8,100000.0,88.70400000000001,76.7716554500303,76.86478515544998,73.26770162817117,100000.0,384168.0,154.0,97.0,97.0,5.0,0.0,0.0,1.0
110000.0,0.9375,6.442132871598005E-8,110000.0,88.94363636363637,77.26044196350854,77.3380289563419,73.80572905449064,110000.0,412832.0,168.0,104.0,104.0,5.0,0.0,0.0,1.0
120000.0,1.015625,7.372258955405818E-8,120000.0,89.1575,77.69807305746167,77.78593501903673,74.29773616214294,120000.0,460208.0,190.0,118.0,118.0,5.0,0.0,0.0,1.0
130000.0,1.09375,8.364942105900911E-8,130000.0,89.38615384615385,78.16698975705569,78.26059555695605,74.82805801331753,130000.0,491160.0,202.0,124.0,124.0,5.0,0.0,0.0,1.0
140000.0,1.1875,9.625972274483907E-8,140000.0,89.59928571428571,78.60683815233955,78.69859707125825,75.31950235601207,140000.0,519944.0,220.0,133.0,133.0,5.0,0.0,0.0,1.0
150000.0,1.265625,1.0703428415581586E-7,150000.0,89.80333333333334,79.03288741028749,79.1234439834025,75.81282813587198,150000.0,533104.0,222.0,134.0,134.0,5.0,0.0,0.0,1.0
160000.0,1.34375,1.1821177193067142E-7,160000.0,90.01125,79.45721584690413,79.55690859321037,76.27762687209629,160000.0,553040.0,234.0,140.0,140.0,5.0,0.0,0.0,1.0
