learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.1875,7.324852049350739E-9,10000.0,81.93,63.0713880138922,63.03947637553693,58.48839880542156,10000.0,151008.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
20000.0,0.265625,1.1135998647660017E-8,20000.0,84.935,69.15572809147645,69.64843356502469,65.1192405649456,20000.0,188568.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.328125,1.4578270363724894E-8,30000.0,86.35666666666667,72.03052001228936,72.38191632928476,68.11560333411234,30000.0,212896.0,81.0,59.0,59.0,4.0,0.0,0.0,1.0
40000.0,0.40625,2.0121579938050775E-8,40000.0,87.03999999999999,73.40176188442975,73.70796774357153,69.47356024025437,40000.0,274272.0,103.0,70.0,70.0,4.0,0.0,0.0,1.0
50000.0,0.46875,2.476642192858789E-8,50000.0,87.618,74.5690927263113,74.85684116476465,70.69349112426035,50000.0,287272.0,109.0,73.0,73.0,4.0,0.0,0.0,1.0
60000.0,0.53125,2.9538544670989118E-8,60000.0,88.09166666666667,75.54643618826266,75.8018085142412,71.81125971515368,60000.0,295144.0,115.0,76.0,76.0,5.0,0.0,0.0,1.0
70000.0,0.609375,3.627996193245054E-8,70000.0,88.42428571428572,76.23279847060854,76.43380642159143,72.59537337662337,70000.0,333552.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.671875,4.18492709286511E-8,80000.0,88.7275,76.8594736218332,77.03122612194998,73.3242619653316,80000.0,344448.0,131.0,87.0,87.0,5.0,0.0,0.0,1.0
90000.0,0.75,4.9703101265347676E-8,90000.0,89.03111111111112,77.50088907041874,77.60689576953614,74.10758779867287,90000.0,388592.0,153.0,98.0,98.0,5.0,0.0,0.0,1.0
100000.0,0.8125,5.700544635247854E-8,100000.0,89.25,77.96351381058363,78.07285929914738,74.69576065720405,100000.0,451632.0,179.0,114.0,114.0,5.0,0.0,0.0,1.0
110000.0,0.890625,6.656071895526517E-8,110000.0,89.51181818181819,78.5065161010659,78.57527530687663,75.34302201325069,110000.0,472776.0,189.0,119.0,119.0,5.0,0.0,0.0,1.0
120000.0,0.96875,7.6532823085371E-8,120000.0,89.72833333333334,78.94785383737106,79.01385909354038,75.84416093440727,120000.0,493400.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
130000.0,1.046875,8.673129034125143E-8,130000.0,89.94153846153846,79.37766335428138,79.42957824028191,76.32103147296367,130000.0,504600.0,207.0,128.0,128.0,5.0,0.0,0.0,1.0
140000.0,1.109375,9.50796917701761E-8,140000.0,90.11642857142857,79.73768319607377,79.78435870089267,76.74571030032101,140000.0,516328.0,211.0,130.0,130.0,5.0,0.0,0.0,1.0
150000.0,1.1875,1.0597713602085909E-7,150000.0,90.31,80.13610912047537,80.19323013190886,77.20250325454461,150000.0,539184.0,220.0,136.0,136.0,6.0,0.0,0.0,1.0
160000.0,1.28125,1.2039071104178826E-7,160000.0,90.48125,80.47958924318576,80.54718234302356,77.56499963173013,160000.0,594296.0,244.0,151.0,151.0,6.0,0.0,0.0,1.0
170000.0,1.375,1.356395659968257E-7,170000.0,90.64,80.80468717827924,80.87867717746586,77.92728432909321,170000.0,628736.0,259.0,163.0,163.0,6.0,0.0,0.0,1.0
180000.0,1.4375,1.464639919706517E-7,180000.0,90.75833333333333,81.05155564375349,81.13988344935488,78.21617516107065,180000.0,669464.0,272.0,171.0,171.0,6.0,0.0,0.0,1.0
190000.0,1.53125,1.6335391491237614E-7,190000.0,90.87736842105262,81.29660893521145,81.37978450266954,78.50010543420285,190000.0,696400.0,286.0,178.0,178.0,6.0,0.0,0.0,1.0
200000.0,1.625,1.8117710068407985E-7,200000.0,91.001,81.54929969875958,81.6281324962997,78.79069986683793,200000.0,734880.0,304.0,190.0,190.0,6.0,0.0,0.0,1.0
210000.0,1.71875,1.9971643471055558E-7,210000.0,91.10571428571428,81.7643964862971,81.84522073832157,79.04268210583008,210000.0,764408.0,316.0,196.0,196.0,6.0,0.0,0.0,1.0
220000.0,1.8125,2.1845949555022845E-7,220000.0,91.22454545454546,82.00759671959626,82.09804994297266,79.31714215313414,220000.0,772808.0,323.0,201.0,201.0,6.0,0.0,0.0,1.0
230000.0,1.875,2.312462957989838E-7,230000.0,91.34826086956521,82.25922890222199,82.34542599345238,79.60060278634913,230000.0,790832.0,332.0,207.0,207.0,6.0,0.0,0.0,1.0
240000.0,1.984375,2.5528130613060456E-7,240000.0,91.46,82.48923150532342,82.56238354929002,79.86027179199951,240000.0,849432.0,348.0,218.0,218.0,6.0,0.0,0.0,1.0
250000.0,2.09375,2.799259123599363E-7,250000.0,91.546,82.6657622383861,82.73495895110894,80.05925143175236,250000.0,870976.0,360.0,224.0,224.0,6.0,0.0,0.0,1.0
260000.0,2.1875,3.0126716915725E-7,260000.0,91.62769230769231,82.83134762727016,82.88746511536496,80.2437762631259,260000.0,879936.0,364.0,226.0,226.0,6.0,0.0,0.0,1.0
270000.0,2.296875,3.2718642614781854E-7,270000.0,91.7274074074074,83.03488468799121,83.08980512696273,80.47279339767799,270000.0,916024.0,381.0,239.0,239.0,6.0,0.0,0.0,1.0
280000.0,2.421875,3.5758117317325537E-7,280000.0,91.82357142857143,83.2326382267483,83.29234384464375,80.69710970962193,280000.0,939920.0,391.0,247.0,247.0,6.0,0.0,0.0,1.0
290000.0,2.53125,3.850777284242213E-7,290000.0,91.90068965517241,83.3922763054096,83.45461077338143,80.88526111052336,290000.0,971768.0,400.0,253.0,253.0,6.0,0.0,0.0,1.0
300000.0,2.640625,4.134140908718109E-7,300000.0,91.97566666666667,83.54329854883544,83.60473748373958,81.04861247785868,300000.0,1001448.0,413.0,261.0,261.0,6.0,0.0,0.0,1.0
310000.0,2.75,4.4265726400125355E-7,310000.0,92.05967741935484,83.7157962110858,83.77239824374035,81.24485690774435,310000.0,1033496.0,428.0,270.0,270.0,6.0,0.0,0.0,1.0
320000.0,2.875,4.768520658318367E-7,320000.0,92.13781250000001,83.87349541524807,83.93227786257593,81.41683778234086,320000.0,1057432.0,432.0,272.0,272.0,6.0,0.0,0.0,1.0
330000.0,3.0,5.117132807047002E-7,330000.0,92.20424242424242,84.00984990985349,84.07581412910933,81.57308521534836,330000.0,1078040.0,443.0,279.0,279.0,6.0,0.0,0.0,1.0
340000.0,3.125,5.476563819684088E-7,340000.0,92.26558823529412,84.13579388141498,84.19765401533543,81.71660988667176,340000.0,1111496.0,462.0,293.0,293.0,6.0,0.0,0.0,1.0
350000.0,3.25,5.843727396697633E-7,350000.0,92.31942857142857,84.24711763220009,84.3008316202579,81.84507327615319,350000.0,1135408.0,464.0,294.0,294.0,6.0,0.0,0.0,1.0
360000.0,3.375,6.214269605051311E-7,360000.0,92.38611111111112,84.38477938875567,84.4451380415969,82.00747008356254,360000.0,1145856.0,466.0,295.0,295.0,6.0,0.0,0.0,1.0
370000.0,3.5,6.587189272977411E-7,370000.0,92.44216216216216,84.498118247872,84.55249522168089,82.13117268172991,370000.0,1153208.0,470.0,297.0,297.0,6.0,0.0,0.0,1.0
380000.0,3.625,6.963055542049308E-7,380000.0,92.49868421052632,84.61555655005778,84.664837529589,82.269150623581,380000.0,1162320.0,472.0,298.0,298.0,6.0,0.0,0.0,1.0
390000.0,3.75,7.339258122050926E-7,390000.0,92.56615384615384,84.75361343977782,84.81163854298181,82.42759991756876,390000.0,1163360.0,472.0,298.0,298.0,6.0,0.0,0.0,1.0
400000.0,3.875,7.717602743974161E-7,400000.0,92.6235,84.87128470478699,84.93431163804769,82.56393892119321,400000.0,1169984.0,480.0,302.0,302.0,7.0,0.0,0.0,1.0
410000.0,4.0,8.103594559037849E-7,410000.0,92.6829268292683,84.9925933543344,85.05328503883656,82.70065795164258,410000.0,1193632.0,488.0,306.0,306.0,7.0,0.0,0.0,1.0
420000.0,4.140625,8.558219673836395E-7,420000.0,92.72952380952381,85.08853933003647,85.14518663378136,82.81066171296686,420000.0,1249664.0,523.0,331.0,331.0,7.0,0.0,0.0,1.0
430000.0,4.28125,9.031447957062885E-7,430000.0,92.78976744186046,85.2104556522647,85.26579920350532,82.9460008030847,430000.0,1300800.0,535.0,340.0,340.0,7.0,0.0,0.0,1.0
440000.0,4.421875,9.519722920635507E-7,440000.0,92.8325,85.29875949382674,85.3533594341419,83.04790470661591,440000.0,1342160.0,550.0,349.0,349.0,7.0,0.0,0.0,1.0
450000.0,4.5625,1.0017887365797325E-6,450000.0,92.87155555555555,85.37991584630782,85.43861640073537,83.14487483974021,450000.0,1369344.0,579.0,368.0,368.0,7.0,0.0,0.0,1.0
460000.0,4.703125,1.0531139236667915E-6,460000.0,92.92521739130434,85.49022034055601,85.54769031272482,83.272166538165,460000.0,1410816.0,583.0,370.0,370.0,7.0,0.0,0.0,1.0
470000.0,4.84375,1.105188825426416E-6,470000.0,92.97382978723404,85.59031909992413,85.64554408964852,83.38741240448127,470000.0,1431424.0,589.0,373.0,373.0,7.0,0.0,0.0,1.0
480000.0,5.0,1.1638408048181895E-6,480000.0,93.025625,85.69637143717,85.75398311431879,83.50724209281702,480000.0,1450992.0,604.0,382.0,382.0,7.0,0.0,0.0,1.0
490000.0,5.140625,1.217538245125777E-6,490000.0,93.0722448979592,85.79137753532383,85.85070421361077,83.61284093651943,490000.0,1476024.0,610.0,385.0,385.0,7.0,0.0,0.0,1.0
500000.0,5.28125,1.27184395548991E-6,500000.0,93.1146,85.87968040688702,85.93742979335248,83.71791658193067,500000.0,1492744.0,620.0,390.0,390.0,7.0,0.0,0.0,1.0
510000.0,5.4375,1.3328879463693331E-6,510000.0,93.16039215686274,85.97334330098954,86.02853412158645,83.82456595934116,510000.0,1510168.0,628.0,394.0,394.0,7.0,0.0,0.0,1.0
520000.0,5.59375,1.395840825150824E-6,520000.0,93.19903846153846,86.05310905509945,86.10336128510016,83.91768985902684,520000.0,1557392.0,642.0,404.0,404.0,7.0,0.0,0.0,1.0
530000.0,5.75,1.4603769523091612E-6,530000.0,93.23811320754717,86.13305470525053,86.18032900673283,84.00924517104905,530000.0,1596560.0,660.0,416.0,416.0,7.0,0.0,0.0,1.0
540000.0,5.890625,1.5190412523224948E-6,540000.0,93.27722222222222,86.21255293453287,86.26057337496452,84.09890278355708,540000.0,1612552.0,667.0,421.0,421.0,7.0,0.0,0.0,1.0
550000.0,6.046875,1.584869912929005E-6,550000.0,93.31745454545455,86.29584585523976,86.34213411122053,84.19604234569707,550000.0,1628536.0,682.0,430.0,430.0,7.0,0.0,0.0,1.0
560000.0,6.203125,1.6517010388068026E-6,560000.0,93.35214285714287,86.36704205160103,86.41001398131688,84.27891538536252,560000.0,1653336.0,690.0,434.0,434.0,7.0,0.0,0.0,1.0
570000.0,6.328125,1.7060144778548015E-6,570000.0,93.39052631578947,86.44651888236677,86.48573027420257,84.37353530409678,570000.0,1679576.0,694.0,436.0,436.0,7.0,0.0,0.0,1.0
580000.0,6.5,1.781753704158796E-6,580000.0,93.43379310344827,86.53418936349102,86.57160587853656,84.47135575942914,580000.0,1703376.0,708.0,446.0,446.0,7.0,0.0,0.0,1.0
590000.0,6.65625,1.8516662789301737E-6,590000.0,93.47525423728813,86.61906450599061,86.65645288198571,84.56783442171469,590000.0,1729568.0,726.0,458.0,458.0,7.0,0.0,0.0,1.0
600000.0,6.796875,1.915663855874704E-6,600000.0,93.51566666666666,86.70018651043777,86.73928825841107,84.65416048720455,600000.0,1759152.0,726.0,458.0,458.0,7.0,0.0,0.0,1.0
610000.0,6.96875,1.9943039256355E-6,610000.0,93.5583606557377,86.78796326368476,86.82854719820867,84.75535002095005,610000.0,1768616.0,738.0,467.0,467.0,7.0,0.0,0.0,1.0
