learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.140625,6.166810635477305E-9,10000.0,81.13,61.231247901823636,61.31611316113161,55.77689243027889,10000.0,169512.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.21875,9.90180221075813E-9,20000.0,84.075,67.24353155909353,67.5,62.55144032921811,20000.0,184800.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.28125,1.3063771701935266E-8,30000.0,85.46000000000001,70.06885672547712,70.17639819499523,65.6697623170156,30000.0,195560.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.359375,1.8140288173324532E-8,40000.0,86.2975,71.81235480997043,71.96132596685084,67.69040320679086,40000.0,251176.0,91.0,64.0,64.0,4.0,0.0,0.0,1.0
50000.0,0.421875,2.2412213082942698E-8,50000.0,86.81,72.88085534612877,73.09041945487188,68.9617846385542,50000.0,264208.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
60000.0,0.484375,2.7077104378905563E-8,60000.0,87.155,73.56639176102811,73.78660589775859,69.68254592659613,60000.0,288512.0,109.0,73.0,73.0,5.0,0.0,0.0,1.0
70000.0,0.546875,3.19622793338365E-8,70000.0,87.52142857142857,74.32605807985216,74.52387202146586,70.56643191697273,70000.0,302136.0,115.0,76.0,76.0,5.0,0.0,0.0,1.0
80000.0,0.625,3.869076155953937E-8,80000.0,87.8475,75.01849312769814,75.13300593411091,71.39662832092736,80000.0,332912.0,128.0,84.0,84.0,5.0,0.0,0.0,1.0
90000.0,0.71875,4.8124477163785035E-8,90000.0,88.14999999999999,75.64716282675276,75.70615034168564,72.11764705882352,90000.0,388968.0,162.0,101.0,101.0,5.0,0.0,0.0,1.0
100000.0,0.796875,5.656814513107141E-8,100000.0,88.441,76.23344249281601,76.3013839056894,72.76454371951651,100000.0,417776.0,172.0,106.0,106.0,5.0,0.0,0.0,1.0
110000.0,0.84375,6.182478197539846E-8,110000.0,88.76818181818182,76.89802481122591,76.93068937187242,73.49224398721276,110000.0,433480.0,180.0,110.0,110.0,5.0,0.0,0.0,1.0
120000.0,0.921875,7.108529745083716E-8,120000.0,89.08416666666666,77.54673322909612,77.61811191798375,74.20695087132026,120000.0,458192.0,192.0,116.0,116.0,5.0,0.0,0.0,1.0
130000.0,1.0,8.055924101629191E-8,130000.0,89.33076923076923,78.0507430593421,78.11647023555956,74.7662191172725,130000.0,468752.0,196.0,118.0,118.0,5.0,0.0,0.0,1.0
140000.0,1.046875,8.64000887506538E-8,140000.0,89.55857142857143,78.52407388029457,78.58576388380236,75.31785563528915,140000.0,481656.0,202.0,121.0,121.0,6.0,0.0,0.0,1.0
150000.0,1.125,9.629490604210231E-8,150000.0,89.732,78.88406358864223,78.95384110846929,75.73953312541347,150000.0,489576.0,206.0,123.0,123.0,6.0,0.0,0.0,1.0
160000.0,1.21875,1.0923582724192076E-7,160000.0,89.888125,79.20594015151282,79.26114878289515,76.10544971200707,160000.0,533576.0,224.0,135.0,135.0,6.0,0.0,0.0,1.0
170000.0,1.296875,1.2087913799203104E-7,170000.0,90.04235294117647,79.525757532742,79.5688801989041,76.47451220190116,170000.0,576088.0,242.0,147.0,147.0,6.0,0.0,0.0,1.0
180000.0,1.390625,1.3505658393518791E-7,180000.0,90.20611111111111,79.86501157868118,79.9188964448849,76.86209657308606,180000.0,584560.0,255.0,155.0,155.0,6.0,0.0,0.0,1.0
190000.0,1.484375,1.5047909174528385E-7,190000.0,90.36894736842105,80.2057654003477,80.27210884353741,77.26465143439312,190000.0,635896.0,270.0,164.0,164.0,6.0,0.0,0.0,1.0
200000.0,1.546875,1.6122694230741922E-7,200000.0,90.50399999999999,80.48772838979971,80.53400297237738,77.58500631424894,200000.0,664728.0,279.0,170.0,170.0,6.0,0.0,0.0,1.0
210000.0,1.65625,1.815480128344562E-7,210000.0,90.6447619047619,80.7763406756311,80.82456517071076,77.89902353417631,210000.0,718176.0,298.0,184.0,184.0,6.0,0.0,0.0,1.0
220000.0,1.75,1.99452301280366E-7,220000.0,90.7781818181818,81.04979805138107,81.0943790070076,78.20556892402887,220000.0,738224.0,305.0,189.0,189.0,6.0,0.0,0.0,1.0
230000.0,1.84375,2.1753800360278947E-7,230000.0,90.89826086956522,81.29876283590298,81.33043191324279,78.4928340268146,230000.0,745704.0,311.0,192.0,192.0,6.0,0.0,0.0,1.0
240000.0,1.90625,2.2973716517703397E-7,240000.0,91.01708333333333,81.54445414277605,81.5843647763285,78.77090021072533,240000.0,754488.0,313.0,193.0,193.0,6.0,0.0,0.0,1.0
250000.0,2.0,2.4871887742645205E-7,250000.0,91.1212,81.76035240723178,81.80678157810618,79.01469170117421,250000.0,782648.0,324.0,200.0,200.0,6.0,0.0,0.0,1.0
260000.0,2.09375,2.6782418394254306E-7,260000.0,91.22038461538462,81.96493067688282,82.01026093672424,79.24818181818183,260000.0,787744.0,330.0,203.0,203.0,6.0,0.0,0.0,1.0
270000.0,2.203125,2.907162868521279E-7,270000.0,91.31777777777778,82.16690646318987,82.21517498805089,79.4845315713473,270000.0,809040.0,339.0,209.0,209.0,7.0,0.0,0.0,1.0
280000.0,2.296875,3.1079579558637396E-7,280000.0,91.41071428571429,82.36027742241808,82.41804836681581,79.7094357451404,280000.0,827912.0,349.0,217.0,217.0,7.0,0.0,0.0,1.0
290000.0,2.390625,3.3142711294607974E-7,290000.0,91.5051724137931,82.55438099984687,82.61394272163959,79.92960902047366,290000.0,850664.0,351.0,218.0,218.0,7.0,0.0,0.0,1.0
300000.0,2.484375,3.5215971163577494E-7,300000.0,91.57866666666666,82.7043999717436,82.76083248038212,80.09439091073833,300000.0,854840.0,353.0,219.0,219.0,7.0,0.0,0.0,1.0
310000.0,2.59375,3.7667619633591826E-7,310000.0,91.66419354838709,82.88248497442403,82.93388457042472,80.30246438344678,310000.0,866448.0,362.0,225.0,225.0,7.0,0.0,0.0,1.0
320000.0,2.6875,3.980351094570424E-7,320000.0,91.74375,83.04819273947402,83.09455404047837,80.4976710882772,320000.0,880664.0,367.0,229.0,229.0,7.0,0.0,0.0,1.0
330000.0,2.8125,4.2760537730322934E-7,330000.0,91.82090909090908,83.2060139603337,83.24820168442741,80.67128800790591,330000.0,914424.0,376.0,235.0,235.0,7.0,0.0,0.0,1.0
340000.0,2.921875,4.543456533509823E-7,340000.0,91.89588235294117,83.36109362110977,83.40690244915902,80.84852023298163,340000.0,945040.0,393.0,248.0,248.0,7.0,0.0,0.0,1.0
350000.0,3.03125,4.819587856117221E-7,350000.0,91.96057142857143,83.4929475470437,83.54002386690689,80.99451544052089,350000.0,975888.0,398.0,252.0,252.0,7.0,0.0,0.0,1.0
