learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.234375,2.1134231549998123E-9,10000.0,79.83,69.78089908312522,69.61434166917748,69.36047394804801,10000.0,34856.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.390625,3.991913723034991E-9,20000.0,79.295,68.95625156565804,69.03693734110962,68.74481092912673,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,5.494706177463134E-9,30000.0,79.30333333333334,68.9682327213618,69.15855354659249,68.7754588886095,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.65625,7.607935306926568E-9,40000.0,79.645,69.47370101698073,69.6974208195318,69.38176895306859,40000.0,58088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
50000.0,0.78125,1.058040652424097E-8,50000.0,79.94200000000001,69.92005259259705,70.12155157004112,69.80581062772843,50000.0,91920.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,0.90625,1.4271030926869974E-8,60000.0,80.33666666666667,70.51240654628575,70.60494319314331,70.37167252636867,60000.0,114128.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
70000.0,1.03125,1.799451032032569E-8,70000.0,80.6542857142857,70.98812316858167,71.06966608985451,70.86488812392427,70000.0,115144.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
80000.0,1.15625,2.207189229213529E-8,80000.0,80.9525,71.43220743048688,71.48684555218743,71.36252584100734,80000.0,126088.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
90000.0,1.296875,2.8300112009876303E-8,90000.0,81.13555555555556,71.70612177886575,71.72924818915995,71.6546738567875,90000.0,171200.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
100000.0,1.4375,3.539795418166452E-8,100000.0,81.313,71.96970579701852,71.98224807712491,71.94607497260212,100000.0,195104.0,33.0,17.0,17.0,6.0,0.0,0.0,1.0
110000.0,1.5625,4.212624238183101E-8,110000.0,81.53272727272727,72.29713194084223,72.30878283509861,72.24104946706751,110000.0,208064.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
120000.0,1.6875,4.953982877648539E-8,120000.0,81.67583333333333,72.51267806316277,72.51271922697102,72.47211407253471,120000.0,229256.0,39.0,20.0,20.0,7.0,0.0,0.0,1.0
130000.0,1.828125,5.7880113470471565E-8,130000.0,81.82384615384616,72.73432414430215,72.74939453350248,72.68892022469315,130000.0,229256.0,39.0,20.0,20.0,7.0,0.0,0.0,1.0
140000.0,1.953125,6.562587158340547E-8,140000.0,81.90285714285714,72.85477966173362,72.86930449215613,72.82623851046259,140000.0,239528.0,41.0,21.0,21.0,7.0,0.0,0.0,1.0
150000.0,2.09375,7.518502469691965E-8,150000.0,81.97,72.9552818005547,72.96284077617491,72.92440457717221,150000.0,262760.0,45.0,23.0,23.0,7.0,0.0,0.0,1.0
160000.0,2.234375,8.509313273761008E-8,160000.0,82.04875,73.07369052244434,73.08229384365951,73.03579643068373,160000.0,272352.0,47.0,24.0,24.0,7.0,0.0,0.0,1.0
170000.0,2.375,9.661766752186749E-8,170000.0,82.12235294117647,73.18315788668725,73.18936466768997,73.13224360617767,170000.0,316784.0,55.0,28.0,28.0,7.0,0.0,0.0,1.0
180000.0,2.53125,1.104018883779645E-7,180000.0,82.17277777777777,73.25867579375814,73.2518109146682,73.20513034619816,180000.0,341008.0,59.0,30.0,30.0,8.0,0.0,0.0,1.0
190000.0,2.65625,1.2142926506284212E-7,190000.0,82.25,73.37531342529408,73.39187515286358,73.31608472390356,190000.0,341008.0,59.0,30.0,30.0,8.0,0.0,0.0,1.0
200000.0,2.796875,1.3387202569800947E-7,200000.0,82.319,73.47923547417334,73.4998988316934,73.41362925538313,200000.0,342024.0,59.0,30.0,30.0,8.0,0.0,0.0,1.0
210000.0,2.953125,1.4859500677428312E-7,210000.0,82.39190476190477,73.58851493167298,73.60218738399156,73.52659010853692,210000.0,364232.0,63.0,32.0,32.0,8.0,0.0,0.0,1.0
220000.0,3.078125,1.6110292765208417E-7,220000.0,82.45045454545455,73.67641750928455,73.6924230035432,73.61529682705648,220000.0,386792.0,67.0,34.0,34.0,8.0,0.0,0.0,1.0
230000.0,3.234375,1.7676499232442842E-7,230000.0,82.51913043478261,73.77977236401291,73.78940780724399,73.71160309136798,230000.0,387464.0,67.0,34.0,34.0,8.0,0.0,0.0,1.0
240000.0,3.375,1.916446166837381E-7,240000.0,82.5725,73.85996046150122,73.86610015933019,73.7889631142918,240000.0,409008.0,71.0,36.0,36.0,8.0,0.0,0.0,1.0
250000.0,3.53125,2.0866097960000237E-7,250000.0,82.622,73.9343380388432,73.9564912448971,73.86436782992136,250000.0,420968.0,73.0,37.0,37.0,8.0,0.0,0.0,1.0
260000.0,3.6875,2.2730974402899543E-7,260000.0,82.65923076923077,73.9892740058556,74.0196728112989,73.93857767963978,260000.0,461352.0,81.0,41.0,41.0,9.0,0.0,0.0,1.0
270000.0,3.84375,2.4692410887736415E-7,270000.0,82.71444444444444,74.07201343588154,74.10590441527314,74.02216445782798,270000.0,485240.0,85.0,43.0,43.0,9.0,0.0,0.0,1.0
280000.0,3.96875,2.63288740016934E-7,280000.0,82.75607142857143,74.13500871298604,74.17745213391808,74.07596323181996,280000.0,506056.0,91.0,46.0,46.0,9.0,0.0,0.0,1.0
290000.0,4.125,2.843117302594086E-7,290000.0,82.79413793103448,74.19250958133765,74.22941844850739,74.1288037870657,290000.0,520088.0,91.0,46.0,46.0,9.0,0.0,0.0,1.0
300000.0,4.28125,3.0623241198352645E-7,300000.0,82.839,74.2594417410614,74.29731106029894,74.20432909109128,300000.0,542296.0,95.0,48.0,48.0,9.0,0.0,0.0,1.0
310000.0,4.4375,3.2864979908077257E-7,310000.0,82.85967741935484,74.2902567836618,74.33314977441576,74.23969903086774,310000.0,554584.0,97.0,49.0,49.0,9.0,0.0,0.0,1.0
320000.0,4.578125,3.491502462161912E-7,320000.0,82.89625000000001,74.34416255663761,74.38276083181609,74.30313956927758,320000.0,563512.0,99.0,50.0,50.0,9.0,0.0,0.0,1.0
330000.0,4.734375,3.7247987671030895E-7,330000.0,82.92575757575757,74.38866805148614,74.42037834868549,74.35249669989531,330000.0,577152.0,101.0,51.0,51.0,9.0,0.0,0.0,1.0
340000.0,4.890625,3.967078454378579E-7,340000.0,82.95088235294118,74.42601300070368,74.4591510323496,74.38862207455388,340000.0,599376.0,105.0,53.0,53.0,9.0,0.0,0.0,1.0
350000.0,5.046875,4.222758838699924E-7,350000.0,82.95914285714285,74.4392014810025,74.46144360090948,74.39830017384585,350000.0,632528.0,111.0,56.0,56.0,9.0,0.0,0.0,1.0
360000.0,5.21875,4.5196444261819127E-7,360000.0,83.00805555555556,74.5123790826596,74.53574387131957,74.47709568533531,360000.0,667696.0,117.0,59.0,59.0,10.0,0.0,0.0,1.0
370000.0,5.375,4.802811761490173E-7,370000.0,83.04297297297298,74.56462318385866,74.58849736735522,74.53228065190478,370000.0,700528.0,123.0,62.0,62.0,10.0,0.0,0.0,1.0
380000.0,5.53125,5.09509829700821E-7,380000.0,83.07368421052631,74.6107044727751,74.6316221247594,74.57717558428622,380000.0,723088.0,127.0,64.0,64.0,10.0,0.0,0.0,1.0
390000.0,5.703125,5.421629046193427E-7,390000.0,83.10076923076923,74.65123417774268,74.67229274028983,74.61326903224813,390000.0,734368.0,129.0,65.0,65.0,10.0,0.0,0.0,1.0
400000.0,5.859375,5.719425906944606E-7,400000.0,83.133,74.6992526187799,74.70986895372897,74.66485418810224,400000.0,736720.0,129.0,65.0,65.0,10.0,0.0,0.0,1.0
410000.0,6.03125,6.061444421195322E-7,410000.0,83.16926829268293,74.75418634434365,74.75931995083982,74.71705717478521,410000.0,769200.0,135.0,68.0,68.0,10.0,0.0,0.0,1.0
420000.0,6.1875,6.380325390232935E-7,420000.0,83.20071428571428,74.80154549185293,74.8060202460231,74.76213300520803,420000.0,788880.0,139.0,70.0,70.0,10.0,0.0,0.0,1.0
430000.0,6.34375,6.700768264838391E-7,430000.0,83.22046511627907,74.83147893961447,74.83441398770182,74.7867503940007,430000.0,792744.0,139.0,70.0,70.0,10.0,0.0,0.0,1.0
440000.0,6.515625,7.053255426904394E-7,440000.0,83.22795454545454,74.84260766593923,74.84181746280663,74.79989345863325,440000.0,792744.0,139.0,70.0,70.0,10.0,0.0,0.0,1.0
450000.0,6.6875,7.414276155436205E-7,450000.0,83.25377777777778,74.88188826463401,74.88409917311301,74.82906625248427,450000.0,811936.0,143.0,72.0,72.0,10.0,0.0,0.0,1.0
460000.0,6.84375,7.74231512979087E-7,460000.0,83.27782608695652,74.91805975314492,74.91815679983304,74.8626665403079,460000.0,811536.0,145.0,73.0,73.0,10.0,0.0,0.0,1.0
470000.0,7.0,8.084058774531716E-7,470000.0,83.30276595744681,74.95544306030709,74.95196389472274,74.90197708854365,470000.0,845440.0,149.0,75.0,75.0,10.0,0.0,0.0,1.0
480000.0,7.171875,8.474262237238389E-7,480000.0,83.318125,74.97803820532354,74.9744503305049,74.93481166597279,480000.0,877568.0,155.0,78.0,78.0,11.0,0.0,0.0,1.0
490000.0,7.328125,8.829807565133606E-7,490000.0,83.32897959183674,74.99418915820128,74.99043251170295,74.9502457812409,490000.0,879584.0,155.0,78.0,78.0,11.0,0.0,0.0,1.0
500000.0,7.5,9.225922985933723E-7,500000.0,83.3444,75.01721989102745,75.00922772217804,74.97535939227848,500000.0,890864.0,157.0,79.0,79.0,11.0,0.0,0.0,1.0
510000.0,7.671875,9.626975709882877E-7,510000.0,83.35921568627451,75.03944541817444,75.03801593580968,74.99815876999945,510000.0,901968.0,159.0,80.0,80.0,11.0,0.0,0.0,1.0
520000.0,7.84375,1.0033118693778914E-6,520000.0,83.37442307692308,75.06207551106486,75.06029170801504,75.02462783797917,520000.0,913416.0,161.0,81.0,81.0,11.0,0.0,0.0,1.0
530000.0,8.03125,1.048100336144368E-6,530000.0,83.39018867924528,75.08586867745497,75.08173334125898,75.04351622432259,530000.0,923352.0,163.0,82.0,82.0,11.0,0.0,0.0,1.0
540000.0,8.203125,1.0892311305118105E-6,540000.0,83.40981481481482,75.11499508054075,75.11361616071827,75.06575413381282,540000.0,925032.0,163.0,82.0,82.0,11.0,0.0,0.0,1.0
550000.0,8.375,1.1308784208570918E-6,550000.0,83.43309090909091,75.1498069881422,75.14254068888756,75.10219472740786,550000.0,936648.0,165.0,83.0,83.0,11.0,0.0,0.0,1.0
560000.0,8.546875,1.1726306466799644E-6,560000.0,83.44875,75.17331891593345,75.16212536980665,75.12419518034133,560000.0,939008.0,165.0,83.0,83.0,11.0,0.0,0.0,1.0
