learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.234375,2.1134231549998123E-9,10000.0,79.36,69.01915732828418,69.34956934956934,68.68456986800182,10000.0,34856.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.390625,3.991913723034991E-9,20000.0,78.7,68.05811874781259,68.25633383010432,67.91685494803436,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,5.494706177463134E-9,30000.0,78.73,68.09352081562501,68.24267157716618,67.90887145443573,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.65625,7.571264480551083E-9,40000.0,78.83250000000001,68.24047444027462,68.434983596779,67.98986805791841,40000.0,57080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
50000.0,0.796875,1.0915585638334352E-8,50000.0,79.288,68.92957146073635,69.1004028047143,68.71393613485998,50000.0,91928.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.921875,1.4230835303250284E-8,60000.0,79.72166666666666,69.58600840600033,69.75489708660635,69.40966460501835,60000.0,102520.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.0625,1.8420040659192534E-8,70000.0,80.17857142857143,70.27328467687424,70.40694450368981,70.0711820534944,70000.0,115152.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
80000.0,1.203125,2.3840629081759186E-8,80000.0,80.48125,70.72825282432255,70.84251409791987,70.5115857458501,80000.0,149000.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.328125,2.8724122482041516E-8,90000.0,80.88444444444445,71.33014060414813,71.42002790883114,71.18595809536569,90000.0,151016.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.453125,3.398324932075209E-8,100000.0,81.16499999999999,71.74940455626772,71.85319126679317,71.65068709643432,100000.0,162632.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.59375,4.0285392767853206E-8,110000.0,81.38090909090909,72.07450545644035,72.16952929666269,71.94767840021915,110000.0,173232.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
120000.0,1.71875,4.588729805416531E-8,120000.0,81.51416666666667,72.27563813113387,72.36073212973,72.13506010626939,120000.0,173232.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
130000.0,1.859375,5.3419951452977125E-8,130000.0,81.59307692307692,72.39254511141503,72.4666029985387,72.28707757163042,130000.0,207056.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
140000.0,1.984375,6.122081281824244E-8,140000.0,81.68071428571429,72.52356171770494,72.5929171386437,72.43058466896707,140000.0,241232.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,2.125,6.999678185416592E-8,150000.0,81.80066666666667,72.70325691291627,72.76310013169972,72.61556054891261,150000.0,241232.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,2.265625,7.91219968555702E-8,160000.0,81.88187500000001,72.82386433640735,72.86461794797391,72.77133330202415,160000.0,250832.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
170000.0,2.390625,8.798456595589717E-8,170000.0,81.95294117647059,72.930921992122,72.9805897065558,72.86588601549508,170000.0,274064.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
180000.0,2.53125,9.912463913982113E-8,180000.0,82.03055555555555,73.04710513063412,73.10701487449386,72.99226799819641,180000.0,306216.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
