learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.234375,2.1134231549998123E-9,10000.0,79.53,69.33211810415558,68.8099954289197,68.89057750759879,10000.0,34856.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.390625,3.991913723034991E-9,20000.0,79.595,69.41302248549826,69.09737997879752,69.09971984553647,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,5.494706177463134E-9,30000.0,79.47666666666666,69.23221580596793,68.90561082773597,68.96986190908174,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.640625,7.672707498487498E-9,40000.0,79.55,69.32267508058433,69.08190648977588,69.08774846950342,40000.0,67352.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.765625,1.0678033706628612E-8,50000.0,80.118,70.17831197534295,69.95042621365093,69.90585172403354,50000.0,92936.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.90625,1.4432718873851827E-8,60000.0,80.51333333333334,70.77235594296197,70.54911838790933,70.52090161867783,60000.0,103208.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.046875,1.9369601634227565E-8,70000.0,80.91428571428571,71.37323028189265,71.13847483257723,71.16401545401567,70000.0,135704.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
80000.0,1.1875,2.4802413665586044E-8,80000.0,81.14375,71.71628676818035,71.52000302074877,71.52107836659178,80000.0,149336.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.3125,2.9653310775756832E-8,90000.0,81.3411111111111,72.0131410662228,71.8219343580106,71.83894553259995,90000.0,150008.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.4375,3.5255474762784105E-8,100000.0,81.46799999999999,72.20441574480276,72.03434590369262,72.03476791211443,100000.0,173240.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
110000.0,1.5625,4.089023503992292E-8,110000.0,81.68636363636364,72.5311081484521,72.36890833527644,72.39465570400823,110000.0,174248.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
120000.0,1.6875,4.725453133384386E-8,120000.0,81.81666666666668,72.72669272065727,72.56070723456698,72.59998744270736,120000.0,196808.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,1.828125,5.4836952282736694E-8,130000.0,81.92769230769231,72.89330372658924,72.75046973949758,72.77352215178873,130000.0,208424.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
140000.0,1.96875,6.241937323162952E-8,140000.0,82.03571428571429,73.05597428235063,72.9179678246075,72.93108458632454,140000.0,208424.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
150000.0,2.125,7.125950004491541E-8,150000.0,82.05733333333333,73.08930706043749,72.95510269705375,72.94857878020345,150000.0,218696.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
160000.0,2.265625,7.99507769342098E-8,160000.0,82.135,73.20541702786181,73.0799295542517,73.07866184448464,160000.0,238904.0,41.0,21.0,21.0,5.0,0.0,0.0,1.0
170000.0,2.40625,8.987285481351945E-8,170000.0,82.19470588235293,73.29456060433904,73.18265985062592,73.18052134465098,170000.0,272736.0,47.0,24.0,24.0,5.0,0.0,0.0,1.0
180000.0,2.53125,9.9432363640517E-8,180000.0,82.30722222222222,73.462748843722,73.3587083821315,73.36516990189766,180000.0,295616.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
190000.0,2.671875,1.1062162229791284E-7,190000.0,82.37736842105264,73.56844897347082,73.4926691788847,73.46115435220266,190000.0,307568.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
200000.0,2.8125,1.2307864381000402E-7,200000.0,82.4365,73.65731982427265,73.57918647331368,73.54914496125782,200000.0,342416.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
210000.0,2.953125,1.355356653220952E-7,210000.0,82.47952380952381,73.72169203056613,73.64587063963901,73.61790308471124,210000.0,342416.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
220000.0,3.09375,1.4839082723483446E-7,220000.0,82.56090909090909,73.84381925940392,73.76845185595417,73.73774711133017,220000.0,353360.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
230000.0,3.234375,1.6168080037459735E-7,230000.0,82.61173913043478,73.919690786818,73.84779367528968,73.82297305257921,230000.0,365312.0,63.0,32.0,32.0,6.0,0.0,0.0,1.0
240000.0,3.375,1.7576705431565646E-7,240000.0,82.66458333333333,73.99866486555308,73.94541719896796,73.9112713591472,240000.0,387200.0,67.0,34.0,34.0,6.0,0.0,0.0,1.0
250000.0,3.515625,1.9104743842035535E-7,250000.0,82.68799999999999,74.03387830802116,73.98131560279424,73.94497622057672,250000.0,420024.0,73.0,37.0,37.0,6.0,0.0,0.0,1.0
260000.0,3.640625,2.0534841395500636E-7,260000.0,82.745,74.11885649983657,74.07332493440747,74.0449756724077,260000.0,442240.0,77.0,39.0,39.0,6.0,0.0,0.0,1.0
270000.0,3.796875,2.2368059338380895E-7,270000.0,82.79185185185185,74.18905834197446,74.14482946672528,74.1174635537655,270000.0,453520.0,79.0,40.0,40.0,6.0,0.0,0.0,1.0
280000.0,3.953125,2.4246808607131246E-7,280000.0,82.82321428571429,74.23629454910647,74.18383450171231,74.15997764954923,280000.0,464784.0,81.0,41.0,41.0,7.0,0.0,0.0,1.0
290000.0,4.09375,2.597994171082974E-7,290000.0,82.85758620689656,74.28772592404943,74.23756393580248,74.21698744379269,290000.0,476400.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
300000.0,4.25,2.7912436053156856E-7,300000.0,82.90966666666667,74.36577006928377,74.30617501728925,74.29831816928592,300000.0,478080.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
310000.0,4.375,2.9458431527018553E-7,310000.0,82.93774193548387,74.40830517801315,74.34757094150568,74.32827272903765,310000.0,478080.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
320000.0,4.53125,3.1516783767276346E-7,320000.0,82.9884375,74.48415508823145,74.41942426435345,74.41172876065845,320000.0,509216.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
330000.0,4.6875,3.3715966209355333E-7,330000.0,82.99939393939394,74.50056903242817,74.43634375284789,74.43028513089769,330000.0,544056.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
340000.0,4.84375,3.604650393956238E-7,340000.0,83.02382352941177,74.53708479954797,74.48004173814618,74.47135053849046,340000.0,576552.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
350000.0,5.015625,3.876653823277189E-7,350000.0,83.05342857142857,74.58151163693127,74.5204843913105,74.5154485028422,350000.0,611736.0,107.0,54.0,54.0,8.0,0.0,0.0,1.0
360000.0,5.171875,4.1331782186817794E-7,360000.0,83.07388888888889,74.61207080447215,74.54666972994424,74.55049680283673,360000.0,634616.0,111.0,56.0,56.0,8.0,0.0,0.0,1.0
370000.0,5.328125,4.397463635541499E-7,370000.0,83.1127027027027,74.67024413794128,74.60081949886992,74.61072734660706,370000.0,653816.0,115.0,58.0,58.0,8.0,0.0,0.0,1.0
380000.0,5.46875,4.635320510715247E-7,380000.0,83.15736842105264,74.73727189008973,74.65929697583998,74.67774480712167,380000.0,653816.0,115.0,58.0,58.0,8.0,0.0,0.0,1.0
390000.0,5.625,4.908453492033813E-7,390000.0,83.18205128205129,74.77388149519993,74.70321888908602,74.72661277271291,390000.0,675704.0,119.0,60.0,60.0,8.0,0.0,0.0,1.0
