learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.21875,2.62988679524925E-9,10000.0,79.73,69.60308557923592,69.05815905968554,69.06760262475203,10000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.375,4.508377363284429E-9,20000.0,79.625,69.44221136165503,69.21507894538037,69.00669303316094,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,6.19901887451609E-9,30000.0,79.48666666666668,69.2435938701633,69.08935657240445,68.9034866093987,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.65625,8.710388404627642E-9,40000.0,79.56,69.35004656625195,69.30124281905906,69.10986852047756,40000.0,69032.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.796875,1.2416179136683544E-8,50000.0,79.998,70.00527617419274,69.93898223571493,69.78367272947006,50000.0,101864.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
60000.0,0.921875,1.6172772221681144E-8,60000.0,80.285,70.43986453662883,70.37565740045079,70.19126578131693,60000.0,116168.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,1.0625,2.1195220243599677E-8,70000.0,80.50857142857143,70.77038251367937,70.78560263794617,70.5884888984695,70000.0,138056.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
80000.0,1.1875,2.5659618485305042E-8,80000.0,80.75750000000001,71.14267371748277,71.1555397328037,70.97169580056948,80000.0,138056.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,1.328125,3.110465412545535E-8,90000.0,80.95777777777778,71.44253227005841,71.4742256029561,71.28736094357325,90000.0,149672.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.46875,3.6549689765605655E-8,100000.0,81.061,71.59690579760176,71.64141111643508,71.4511825622937,100000.0,149672.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
110000.0,1.59375,4.141145230581362E-8,110000.0,81.14,71.71589940303261,71.75570440559822,71.56329244054554,110000.0,150344.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
120000.0,1.734375,4.807535636549194E-8,120000.0,81.35916666666667,72.04534301557953,72.09769362222306,71.87810366719887,120000.0,183176.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
130000.0,1.875,5.5547764835258316E-8,130000.0,81.52153846153846,72.28820137286952,72.30989130058902,72.13322042156305,130000.0,205400.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
140000.0,2.0,6.295203800416654E-8,140000.0,81.63714285714285,72.46219705333779,72.49245650452609,72.29532400073279,140000.0,228968.0,39.0,20.0,20.0,5.0,0.0,0.0,1.0
