learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.234375,2.1134231549998123E-9,10000.0,79.62,69.47288860724458,69.6500372300819,69.13056649500152,10000.0,34856.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.390625,3.991913723034991E-9,20000.0,79.57,69.36659738502074,69.72660591242499,69.12264792564044,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,5.494706177463134E-9,30000.0,79.83333333333333,69.74739293116482,69.97667609547914,69.50451131609456,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.671875,8.31228034156892E-9,40000.0,79.84750000000001,69.76462347315206,69.94070925159413,69.62583367873695,40000.0,69704.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.8125,1.1656601499352189E-8,50000.0,80.028,70.03579718228879,70.20349704601063,69.87177553175441,50000.0,91928.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.9375,1.4629331417381763E-8,60000.0,80.33500000000001,70.49868238199365,70.63464410154306,70.3498014776097,60000.0,91928.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
70000.0,1.0625,1.797769477383958E-8,70000.0,80.60714285714286,70.90932861391997,71.01588521650012,70.79577479938902,70000.0,103544.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
80000.0,1.203125,2.3741126319186553E-8,80000.0,80.80874999999999,71.21152112187049,71.27004622092478,71.09316162072601,80000.0,158424.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
90000.0,1.34375,3.039164261685477E-8,90000.0,81.13111111111111,71.69436797677362,71.71834926556306,71.56777390838467,90000.0,182808.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
100000.0,1.46875,3.630321265922652E-8,100000.0,81.277,71.91321667231033,71.9551834154671,71.77252785357838,100000.0,182808.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
110000.0,1.609375,4.3327422139959195E-8,110000.0,81.4809090909091,72.21935685683573,72.24961857018309,72.08802049792418,110000.0,193080.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
120000.0,1.734375,5.032243077746695E-8,120000.0,81.675,72.50939078059763,72.52658012768455,72.38235183301308,120000.0,216312.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
130000.0,1.859375,5.7360901135123425E-8,130000.0,81.79538461538462,72.68951609572922,72.67110869891567,72.55193050416952,130000.0,217656.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
140000.0,2.0,6.64363485864467E-8,140000.0,81.90285714285714,72.85087743560152,72.834105335392,72.71385954142569,140000.0,249464.0,43.0,22.0,22.0,5.0,0.0,0.0,1.0
150000.0,2.140625,7.634474766544168E-8,150000.0,81.99866666666667,72.99553035483665,72.94741165980383,72.8751243131385,150000.0,272360.0,47.0,24.0,24.0,5.0,0.0,0.0,1.0
160000.0,2.28125,8.666292867726748E-8,160000.0,82.108125,73.16043454559914,73.123216163437,73.03867091111154,160000.0,283624.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
170000.0,2.421875,9.744036813370054E-8,170000.0,82.18117647058824,73.27013803562242,73.24642749898433,73.15871553129651,170000.0,296248.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,2.5625,1.0864039520836537E-7,180000.0,82.25722222222223,73.38448118365227,73.34340491949686,73.26955590150489,180000.0,307864.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
190000.0,2.71875,1.219967897567484E-7,190000.0,82.34210526315789,73.51147485824147,73.47050125333101,73.39265462793335,190000.0,330424.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
200000.0,2.828125,1.313462659406165E-7,200000.0,82.4485,73.67074155545671,73.63174736715594,73.54809539957049,200000.0,330424.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
210000.0,2.984375,1.4596059271651835E-7,210000.0,82.52142857142857,73.78040419828868,73.74482299840489,73.66608553410387,210000.0,361544.0,63.0,32.0,32.0,7.0,0.0,0.0,1.0
220000.0,3.125,1.596097071241173E-7,220000.0,82.58863636363635,73.88081232604236,73.8403857185784,73.76136231308267,220000.0,375184.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
230000.0,3.28125,1.7648992878902285E-7,230000.0,82.64,73.9574225538027,73.90139160331789,73.82937444287137,230000.0,417600.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
240000.0,3.421875,1.9220250477600425E-7,240000.0,82.69125000000001,74.03415379216511,73.97620703264487,73.91148708480134,240000.0,431904.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
250000.0,3.578125,2.0970166790195633E-7,250000.0,82.7464,74.117231062801,74.05894982469012,74.00861679370912,250000.0,432912.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
260000.0,3.71875,2.2580016068079402E-7,260000.0,82.78153846153846,74.17025070487861,74.11057136247975,74.07383813522513,260000.0,442512.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
270000.0,3.875,2.4502809133587607E-7,270000.0,82.81296296296297,74.21763466669442,74.14460744711081,74.13451944997186,270000.0,475680.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
280000.0,4.015625,2.6238212336061726E-7,280000.0,82.85178571428573,74.2758979013408,74.21251913316685,74.19242139209891,280000.0,477024.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
290000.0,4.1875,2.8606623850969803E-7,290000.0,82.88344827586207,74.3230189727144,74.26029059456769,74.24920757614272,290000.0,532656.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
