learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.25,3.005584908856286E-9,10000.0,79.57,69.41398314541297,69.63887650468122,68.77579092159559,10000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.390625,4.696226420087947E-9,20000.0,79.995,70.00884360569918,70.3145867339368,69.61342750816436,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,6.19901887451609E-9,30000.0,79.99000000000001,69.99143298652496,70.19808370153405,69.64809384164224,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.671875,9.48613483665718E-9,40000.0,79.97,69.95652084785762,70.05195678989273,69.59508178057759,40000.0,81320.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
50000.0,0.796875,1.2426268464575212E-8,50000.0,80.366,70.54600566570039,70.55488902219557,70.27853466545565,50000.0,90920.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,0.921875,1.6182861549572812E-8,60000.0,80.645,70.964856398567,70.96532239917994,70.70087798970633,60000.0,116168.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,1.046875,2.0315088072998658E-8,70000.0,80.81142857142856,71.2120033654792,71.24753831663669,70.96725386361179,70000.0,127784.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.171875,2.44473145964245E-8,80000.0,81.02875,71.53940715940499,71.5829089275015,71.31815175281112,80000.0,127784.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
90000.0,1.3125,2.9904573845366637E-8,90000.0,81.08555555555556,71.62440599348065,71.65809233638014,71.40961690263853,90000.0,150008.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.453125,3.582109153891603E-8,100000.0,81.298,71.94245892625779,71.95975830996898,71.74198812383847,100000.0,162632.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.59375,4.2123234986017145E-8,110000.0,81.40454545454546,72.10362248232033,72.1218977007891,71.91828777748796,110000.0,173232.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
120000.0,1.734375,4.882351883376638E-8,120000.0,81.50666666666667,72.25835115776253,72.3198583064124,72.1156987409846,120000.0,184176.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
130000.0,1.859375,5.5154960136860606E-8,130000.0,81.60461538461539,72.40596984441692,72.48829423742853,72.28358503030796,130000.0,195792.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
140000.0,2.015625,6.524040751780073E-8,140000.0,81.64142857142858,72.46188489665964,72.56170467162013,72.34619440080911,140000.0,249504.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
150000.0,2.140625,7.37169951510926E-8,150000.0,81.76133333333333,72.64130818075996,72.70859103786759,72.55004264285355,150000.0,262128.0,45.0,23.0,23.0,6.0,0.0,0.0,1.0
160000.0,2.28125,8.368738538896043E-8,160000.0,81.868125,72.80023917103817,72.86129898315232,72.71299309618315,160000.0,274064.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
170000.0,2.421875,9.408036324506004E-8,170000.0,81.98058823529412,72.96806145650777,73.02103149439864,72.87842970596829,170000.0,285680.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
180000.0,2.578125,1.0696818612308965E-7,180000.0,82.05666666666667,73.08240271729963,73.12397024314744,73.00198109185747,180000.0,318832.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
190000.0,2.71875,1.193512839058207E-7,190000.0,82.14210526315789,73.21079711664004,73.25102880658437,73.15176020953179,190000.0,340384.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
200000.0,2.859375,1.3177105251492724E-7,200000.0,82.221,73.32904649498,73.35681102952195,73.25983636144868,200000.0,341392.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
210000.0,2.984375,1.4281084683413305E-7,210000.0,82.31333333333333,73.46782362874413,73.49007180277792,73.39360162753049,210000.0,341392.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
220000.0,3.125,1.5638778374219932E-7,220000.0,82.37681818181818,73.56270265093718,73.58383865912653,73.48175506993604,220000.0,373200.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
230000.0,3.28125,1.7245342153021029E-7,230000.0,82.44086956521738,73.65823090747655,73.67343745925791,73.5674688622872,230000.0,397448.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
240000.0,3.40625,1.860132195158965E-7,240000.0,82.48583333333333,73.72644971988366,73.74679907563552,73.65630483830535,240000.0,419320.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
250000.0,3.546875,2.0165332696504063E-7,250000.0,82.53359999999999,73.79864412053756,73.81867456515351,73.73647457912558,250000.0,429912.0,75.0,38.0,38.0,8.0,0.0,0.0,1.0
260000.0,3.671875,2.1658475614256329E-7,260000.0,82.5946153846154,73.89029777248555,73.89895028261623,73.83148386947548,260000.0,461736.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
270000.0,3.78125,2.2968778567802573E-7,270000.0,82.65185185185186,73.97566859567812,73.98283667064737,73.90631006033192,270000.0,463080.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
280000.0,3.9375,2.488888761339088E-7,280000.0,82.69535714285713,74.04053807813207,74.04989395659719,73.97588420119772,280000.0,475016.0,83.0,42.0,42.0,8.0,0.0,0.0,1.0
290000.0,4.0625,2.6466884365719226E-7,290000.0,82.73482758620689,74.09975980092042,74.1080893798125,74.04473704673285,290000.0,487976.0,85.0,43.0,43.0,8.0,0.0,0.0,1.0
300000.0,4.203125,2.828069328744378E-7,300000.0,82.77366666666667,74.15833616076856,74.15558956201679,74.10625259919532,300000.0,498576.0,87.0,44.0,44.0,8.0,0.0,0.0,1.0
310000.0,4.359375,3.043693141080439E-7,310000.0,82.80806451612904,74.20962796667735,74.20477425849919,74.15423561133635,310000.0,533432.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
320000.0,4.5,3.241980448365211E-7,320000.0,82.82843749999999,74.24028841856922,74.23210751901559,74.17931488181947,320000.0,545048.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
330000.0,4.65625,3.4752864545832074E-7,330000.0,82.85363636363637,74.27841190450805,74.25834011946627,74.21904900763637,330000.0,577176.0,101.0,51.0,51.0,9.0,0.0,0.0,1.0
340000.0,4.8125,3.7132878787815566E-7,340000.0,82.88029411764705,74.31887627075969,74.30835098870057,74.25619524018026,340000.0,588792.0,103.0,52.0,52.0,9.0,0.0,0.0,1.0
350000.0,4.953125,3.9320817450061437E-7,350000.0,82.916,74.37270045344737,74.36616336994453,74.31010556254914,350000.0,601416.0,105.0,53.0,53.0,9.0,0.0,0.0,1.0
360000.0,5.109375,4.1876360127288433E-7,360000.0,82.94916666666666,74.42276018568595,74.41010205442903,74.3624334867558,360000.0,632216.0,111.0,56.0,56.0,10.0,0.0,0.0,1.0
370000.0,5.25,4.4252338638115257E-7,370000.0,82.98486486486486,74.47592317683294,74.47888374506448,74.40147030121658,370000.0,653104.0,115.0,58.0,58.0,10.0,0.0,0.0,1.0
380000.0,5.40625,4.6950748785295415E-7,380000.0,83.01973684210526,74.52847277295082,74.53439681744094,74.44938979480315,380000.0,667560.0,117.0,59.0,59.0,10.0,0.0,0.0,1.0
390000.0,5.5625,4.969646882576246E-7,390000.0,83.03717948717949,74.55460928080146,74.56144398557247,74.47349534268143,390000.0,679264.0,121.0,61.0,61.0,10.0,0.0,0.0,1.0
400000.0,5.6875,5.196620542038645E-7,400000.0,83.0505,74.57477591803162,74.57749779702645,74.49985519402121,400000.0,701888.0,123.0,62.0,62.0,10.0,0.0,0.0,1.0
410000.0,5.859375,5.523748889875907E-7,410000.0,83.05951219512195,74.58796387525709,74.58654099464333,74.51445890559239,410000.0,735712.0,129.0,65.0,65.0,10.0,0.0,0.0,1.0
420000.0,6.03125,5.860915472213592E-7,420000.0,83.10119047619048,74.65045432812457,74.65766875546748,74.56858866864457,420000.0,758288.0,133.0,67.0,67.0,10.0,0.0,0.0,1.0
430000.0,6.171875,6.139843672927882E-7,430000.0,83.12418604651162,74.68503485566,74.68860418635963,74.60969482368913,430000.0,766712.0,135.0,68.0,68.0,10.0,0.0,0.0,1.0
440000.0,6.34375,6.486593176507287E-7,440000.0,83.13795454545455,74.7054788582944,74.70526466517113,74.62723828023474,440000.0,779840.0,137.0,69.0,69.0,10.0,0.0,0.0,1.0
450000.0,6.515625,6.843818442171646E-7,450000.0,83.15444444444444,74.73024336503225,74.72619067464618,74.648259440225,450000.0,803400.0,141.0,71.0,71.0,10.0,0.0,0.0,1.0
460000.0,6.6875,7.211220670594937E-7,460000.0,83.17304347826087,74.7586178471839,74.74872363677882,74.67668641608569,460000.0,826288.0,145.0,73.0,73.0,10.0,0.0,0.0,1.0
470000.0,6.828125,7.515314953505165E-7,470000.0,83.18404255319149,74.77535321471798,74.76242479978539,74.69738345941688,470000.0,835888.0,147.0,74.0,74.0,10.0,0.0,0.0,1.0
480000.0,6.984375,7.857485454426043E-7,480000.0,83.19541666666666,74.79251352677109,74.78343238182175,74.71252116120132,480000.0,846496.0,149.0,75.0,75.0,10.0,0.0,0.0,1.0
490000.0,7.15625,8.243747611737086E-7,490000.0,83.22489795918368,74.83657073973433,74.82365408941801,74.75282041201206,490000.0,868704.0,153.0,77.0,77.0,10.0,0.0,0.0,1.0
500000.0,7.3125,8.603606774057779E-7,500000.0,83.2504,74.87457486370987,74.86018929603847,74.78707742885271,500000.0,890256.0,157.0,79.0,79.0,10.0,0.0,0.0,1.0
510000.0,7.484375,9.004019213736886E-7,510000.0,83.26882352941176,74.90221842579928,74.89334031647766,74.81553409520211,510000.0,900528.0,159.0,80.0,80.0,10.0,0.0,0.0,1.0
520000.0,7.65625,9.420075932414168E-7,520000.0,83.28615384615384,74.92815514707732,74.9206459134088,74.84391778657042,520000.0,935712.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
530000.0,7.828125,9.846306056715548E-7,530000.0,83.30566037735849,74.95718785169852,74.95159043812069,74.86784885487944,530000.0,958592.0,169.0,85.0,85.0,10.0,0.0,0.0,1.0
540000.0,8.0,1.0288315631138781E-6,540000.0,83.32481481481481,74.98582418238058,74.98353924327749,74.89510119075831,540000.0,994080.0,175.0,88.0,88.0,10.0,0.0,0.0,1.0
550000.0,8.1875,1.0771322801398733E-6,550000.0,83.34636363636363,75.01815231455635,75.01500272776869,74.92567630456564,550000.0,995760.0,175.0,88.0,88.0,10.0,0.0,0.0,1.0
560000.0,8.375,1.1269599781371652E-6,560000.0,83.35928571428572,75.03779932879172,75.03409142664248,74.94919300207529,560000.0,1027240.0,181.0,91.0,91.0,10.0,0.0,0.0,1.0
570000.0,8.546875,1.1731817438784572E-6,570000.0,83.36947368421053,75.05301361217826,75.05033676281317,74.96910548496467,570000.0,1039528.0,183.0,92.0,92.0,10.0,0.0,0.0,1.0
580000.0,8.71875,1.2198602457323835E-6,580000.0,83.39862068965516,75.09665405997198,75.09118847688079,75.01576304830108,580000.0,1049800.0,185.0,93.0,93.0,10.0,0.0,0.0,1.0
590000.0,8.90625,1.2709126329152948E-6,590000.0,83.4064406779661,75.1086132293254,75.10008087857531,75.02869473394242,590000.0,1052488.0,185.0,93.0,93.0,10.0,0.0,0.0,1.0
600000.0,9.09375,1.3241528520464068E-6,600000.0,83.4205,75.12950984855266,75.11768678556243,75.05053747799174,600000.0,1097592.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
610000.0,9.28125,1.377458263757742E-6,610000.0,83.42704918032787,75.13940228136867,75.1267099694912,75.06037857800123,610000.0,1098936.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
620000.0,9.484375,1.4368940739788941E-6,620000.0,83.44693548387096,75.16948907917809,75.15710025368423,75.0912577059366,620000.0,1131064.0,199.0,100.0,100.0,10.0,0.0,0.0,1.0
630000.0,9.671875,1.4917578987984192E-6,630000.0,83.46333333333334,75.19393544370836,75.18625610929566,75.11667677785792,630000.0,1131064.0,199.0,100.0,100.0,10.0,0.0,0.0,1.0
640000.0,9.859375,1.5471680995283853E-6,640000.0,83.4759375,75.21279188707932,75.20567375886525,75.13566128410342,640000.0,1142328.0,201.0,101.0,101.0,10.0,0.0,0.0,1.0
650000.0,10.046875,1.6030765578357707E-6,650000.0,83.48276923076922,75.22295555706158,75.21778672366592,75.14544137086449,650000.0,1152600.0,203.0,102.0,102.0,10.0,0.0,0.0,1.0
660000.0,10.25,1.6653508323037788E-6,660000.0,83.49621212121212,75.24301683781836,75.23857803399879,75.16897860554181,660000.0,1185080.0,209.0,105.0,105.0,10.0,0.0,0.0,1.0
670000.0,10.4375,1.7239120077445273E-6,670000.0,83.5120895522388,75.26680093112758,75.26333467687762,75.19635183014725,670000.0,1207288.0,213.0,107.0,107.0,10.0,0.0,0.0,1.0
680000.0,10.609375,1.7780498213445145E-6,680000.0,83.52779411764706,75.29026956184678,75.2850762998332,75.22319058573703,680000.0,1217560.0,215.0,108.0,108.0,10.0,0.0,0.0,1.0
690000.0,10.8125,1.8431453241242302E-6,690000.0,83.54797101449275,75.32053495422801,75.31396039151812,75.2529337260228,690000.0,1238768.0,219.0,110.0,110.0,10.0,0.0,0.0,1.0
700000.0,11.0,1.9042296076400412E-6,700000.0,83.56057142857142,75.33945451597783,75.33162412217143,75.27294605541648,700000.0,1259304.0,223.0,112.0,112.0,11.0,0.0,0.0,1.0
710000.0,11.203125,1.9720668852743173E-6,710000.0,83.56380281690141,75.3442278684082,75.33698532861618,75.27522119393878,710000.0,1290944.0,229.0,115.0,115.0,11.0,0.0,0.0,1.0
720000.0,11.40625,2.0405313827925254E-6,720000.0,83.56986111111111,75.3533889458762,75.35181334411241,75.28249295857049,720000.0,1302880.0,231.0,116.0,116.0,12.0,0.0,0.0,1.0
